Uni_samp,SiteName,WBID,IR_WBID,Latitude,Longitude,Mod_Ecoregion,Date,Year,Month,Season,Habitat_Type,SAMPLEID,PCID,Cycle,Taxa_Richness,Modified_HBI,EPT_perc,EPT_Taxa,Dom_2_Taxa,Shannon_Weaver,Taxa_Richness_Score,Mod_HBI_Score,EPT_perc_Score,EPT_Taxa_Score,Dom2_Taxa_Score,Shannon_Weaver_Score,Score,Percent_Reference,Task
29919 Riffle,Adams Creek: Oak Grove Road,OK121500-02-0150G,OK121500020150_00,36.0958,-95.6724,Central Irregular Plains,1/29/2004,2004,1,Winter,Riffle,29919,OK121500-02-0150G_1,1,17,5.789855072,0.114035088,4,0.362318841,2.373489859,6,6,2,2,2,2,18.36231884,0.765096618,Blue Thumb
33362 Riffle,Adams Creek: Oak Grove Road,OK121500-02-0150G,OK121500020150_00,36.0958,-95.6724,Central Irregular Plains,7/13/2005,2005,7,Summer,Riffle,33362,OK121500-02-0150G_1,1,10,4.361344538,0.06557377,2,0.848739496,1.299658939,4,6,0,0,0,0,10.8487395,0.417259211,Blue Thumb
23840 Riffle,Ballard Creek: E 0660 (Oak Hill),OK121700-01-0370M,OK121700030370_00,36.06111667,-94.573,Ozark Highlands,7/18/2001,2001,7,Summer,Riffle,23840,OK121700-01-0370M_1,1,16,4.808695652,0.576470588,7,0.4,2.349424325,6,6,6,2,2,2,22.4,0.861538462,Blue Thumb
26309 Riffle,Ballard Creek: E 0660 (Oak Hill),OK121700-01-0370M,OK121700030370_00,36.06111667,-94.573,Ozark Highlands,1/15/2002,2002,1,Winter,Riffle,26309,OK121700-01-0370M_1,1,16,5.723809524,0.346153846,6,0.723809524,1.71929826,4,4,6,0,0,2,16.72380952,0.557460317,Blue Thumb
26378 Riffle,Ballard Creek: E 0660 (Oak Hill),OK121700-01-0370M,OK121700030370_00,36.06111667,-94.573,Ozark Highlands,8/1/2002,2002,8,Summer,Riffle,26378,OK121700-01-0370M_1,1,12,4.897196262,0.493333333,5,0.476635514,2.087801787,4,6,6,0,0,2,18.47663551,0.710639827,Blue Thumb
26860 Riffle,Ballard Creek: E 0660 (Oak Hill),OK121700-01-0370M,OK121700030370_00,36.06111667,-94.573,Ozark Highlands,1/28/2003,2003,1,Winter,Riffle,26860,OK121700-01-0370M_1,1,15,3.815533981,0.737864078,11,0.514563107,2.040712698,4,6,6,4,0,2,22.51456311,0.750485437,Blue Thumb
29101 Riffle,Ballard Creek: E 0660 (Oak Hill),OK121700-01-0370M,OK121700030370_00,36.06111667,-94.573,Ozark Highlands,7/24/2003,2003,7,Summer,Riffle,29101,OK121700-01-0370M_1,1,17,4.786885246,0.380952381,7,0.475409836,2.229859224,6,6,6,2,0,2,22.47540984,0.86443884,Blue Thumb
29890 Riffle,Ballard Creek: E 0660 (Oak Hill),OK121700-01-0370M,OK121700030370_00,36.06111667,-94.573,Ozark Highlands,1/20/2004,2004,1,Winter,Riffle,29890,OK121700-01-0370M_1,1,17,5.139130435,0.554545455,9,0.52173913,2.143228071,4,4,6,2,0,2,18.52173913,0.617391304,Blue Thumb
30689 Riffle,Ballard Creek: E 0660 (Oak Hill),OK121700-01-0370M,OK121700030370_00,36.06111667,-94.573,Ozark Highlands,7/15/2004,2004,7,Summer,Riffle,30689,OK121700-01-0370M_1,1,18,4.765217391,0.558139535,6,0.365217391,2.428209581,6,6,6,0,2,2,20.36521739,0.783277592,Blue Thumb
33386 Riffle,Ballard Creek: E 0660 (Oak Hill),OK121700-01-0370M,OK121700030370_00,36.06111667,-94.573,Ozark Highlands,7/26/2005,2005,7,Summer,Riffle,33386,OK121700-01-0370M_1,1,20,4.820512821,0.493150685,8,0.521367521,2.148954525,6,6,6,4,0,2,24.52136752,0.94312952,Blue Thumb
49570 Riffle,Ballard Creek: Wainscott,OK121700-03-0370V,OK121700030370_00,36.014656,-94.548142,Ozark Highlands,2/23/2012,2012,2,Winter,Riffle,49570,OK121700-03-0370V_3,3,12,5.805309735,0.045454545,5,0.840707965,1.016899732,2,2,0,0,0,0,4.840707965,0.161356932,Blue Thumb
51478 Riffle,Ballard Creek: Wainscott,OK121700-03-0370V,OK121700030370_00,36.014656,-94.548142,Ozark Highlands,2/19/2013,2013,2,Winter,Riffle,51478,OK121700-03-0370V_3,3,10,5.982905983,0.068965517,3,0.846153846,0.985391018,2,2,0,0,0,0,4.846153846,0.161538462,Blue Thumb
51653 Riffle,Ballard Creek: Wainscott,OK121700-03-0370V,OK121700030370_00,36.014656,-94.548142,Ozark Highlands,7/16/2013,2013,7,Summer,Riffle,51653,OK121700-03-0370V_3,3,17,6.244094488,0.140495868,5,0.519685039,2.0912762,6,2,2,0,0,2,12.51968504,0.481526348,Blue Thumb
23140 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,1/27/2001,2001,1,Winter,Riffle,23140,OK220100-04-0080G_1,1,12,7.581395349,0.024096386,2,0.558139535,1.925332053,4,2,0,0,0,2,8.558139535,0.329159213,Blue Thumb
23868 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,7/26/2001,2001,7,Summer,Riffle,23868,OK220100-04-0080G_1,1,6,6.916666667,0.0,0,0.909722222,1.016207131,0,2,0,0,0,0,2.909722222,0.111912393,Blue Thumb
26323 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,1/20/2002,2002,1,Winter,Riffle,26323,OK220100-04-0080G_1,1,14,6.71875,0.016528926,1,0.5859375,1.987524375,6,4,0,0,0,2,12.5859375,0.484074519,Blue Thumb
26839 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,1/9/2003,2003,1,Winter,Riffle,26839,OK220100-04-0080G_1,1,14,7.041666667,0.1,1,0.6875,1.618166761,6,4,0,0,0,2,12.6875,0.487980769,Blue Thumb
29056 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,7/1/2003,2003,7,Summer,Riffle,29056,OK220100-04-0080G_1,1,14,7.355140187,0.095238095,3,0.588785047,1.911737162,6,2,0,0,0,2,10.58878505,0.407260963,Blue Thumb
29872 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,1/8/2004,2004,1,Winter,Riffle,29872,OK220100-04-0080G_1,1,12,6.577319588,0.024054983,1,0.673539519,1.489926752,4,4,0,0,0,0,8.673539519,0.333597674,Blue Thumb
30691 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,7/16/2004,2004,7,Summer,Riffle,30691,OK220100-04-0080G_1,1,12,5.849315068,0.051020408,3,0.623287671,1.591247305,4,4,0,0,0,2,10.62328767,0.408587987,Blue Thumb
32797 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,2/11/2005,2005,2,Winter,Riffle,32797,OK220100-04-0080G_1,1,13,6.276785714,0.026785714,2,0.616071429,1.705738449,4,4,0,0,0,2,10.61607143,0.40831044,Blue Thumb
35148 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,2/9/2006,2006,2,Winter,Riffle,35148,OK220100-04-0080G_2,2,16,7.432432432,0.127272727,1,0.342342342,2.347046187,6,2,2,0,2,2,12.34234234,0.474705475,Blue Thumb
35779 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,8/18/2006,2006,8,Summer,Riffle,35779,OK220100-04-0080G_2,2,9,6.990990991,0.027027027,1,0.846846847,1.273400012,2,2,0,0,0,0,4.846846847,0.186417186,Blue Thumb
36915 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,2/22/2007,2007,2,Winter,Riffle,36915,OK220100-04-0080G_2,2,10,6.422535211,0.126760563,2,0.577464789,1.791661166,2,4,2,0,0,2,10.57746479,0.406825569,Blue Thumb
38177 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,8/8/2007,2007,8,Summer,Riffle,38177,OK220100-04-0080G_2,2,10,5.876033058,0.166666667,4,0.694214876,1.607152003,2,4,2,0,0,2,10.69421488,0.411315957,Blue Thumb
39253 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,1/10/2008,2008,1,Winter,Riffle,39253,OK220100-04-0080G_2,2,14,5.959677419,0.175438596,5,0.532258065,1.950142472,6,6,2,0,0,2,16.53225806,0.635856079,Blue Thumb
41725 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,7/31/2008,2008,7,Summer,Riffle,41725,OK220100-04-0080G_2,2,16,4.65,0.105263158,5,0.7,1.672443796,6,6,2,2,0,2,18.7,0.719230769,Blue Thumb
42726 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,1/22/2009,2009,1,Winter,Riffle,42726,OK220100-04-0080G_2,2,13,5.344,0.104651163,3,0.472,1.998097355,4,6,2,0,0,2,14.472,0.556615385,Blue Thumb
44251 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,9/1/2009,2009,9,Summer,Riffle,44251,OK220100-04-0080G_2,2,16,5.054545455,0.194444444,6,0.536363636,2.017760624,6,6,2,6,0,2,22.53636364,0.866783217,Blue Thumb
45509 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,1/26/2010,2010,1,Winter,Riffle,45509,OK220100-04-0080G_2,2,10,6.491803279,0.0,0,0.721311475,1.555007109,2,4,0,0,0,2,8.721311475,0.335435057,Blue Thumb
48370 Riffle,Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,OK220100040080_00,34.90841667,-95.29630556,Arkansas Valley,9/16/2010,2010,9,Summer,Riffle,48370,OK220100-04-0080G_2,2,11,5.862745098,0.011111111,1,0.539215686,1.874052874,4,4,0,0,0,2,10.53921569,0.405354449,Blue Thumb
26307 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,1/14/2002,2002,1,Winter,Riffle,26307,OK121700-05-0010G_1,1,27,3.412844037,0.862745098,16,0.385321101,2.658061088,6,6,6,6,2,4,28.3853211,0.94617737,Blue Thumb
26370 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,7/31/2002,2002,7,Summer,Riffle,26370,OK121700-05-0010G_1,1,16,4.058333333,0.796116505,10,0.558333333,2.024969798,6,6,6,6,0,2,26.55833333,1.0,Blue Thumb
26851 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,1/21/2003,2003,1,Winter,Riffle,26851,OK121700-05-0010G_1,1,22,4.28358209,0.47706422,12,0.440298507,2.468691748,6,6,6,6,0,2,26.44029851,0.881343284,Blue Thumb
29103 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,7/24/2003,2003,7,Summer,Riffle,29103,OK121700-05-0010G_1,1,20,4.098484848,0.518181818,11,0.386363636,2.471052209,6,6,6,6,2,2,26.38636364,1.0,Blue Thumb
29936 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,2/26/2004,2004,2,Winter,Riffle,29936,OK121700-05-0010G_1,1,17,2.769911504,0.656862745,10,0.610619469,1.983224971,4,6,6,2,0,2,20.61061947,0.687020649,Blue Thumb
30698 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,7/16/2004,2004,7,Summer,Riffle,30698,OK121700-05-0010G_1,1,16,4.351351351,0.709677419,8,0.45045045,2.103830249,6,6,6,4,0,2,24.45045045,0.94040194,Blue Thumb
32787 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,2/3/2005,2005,2,Winter,Riffle,32787,OK121700-05-0010G_1,1,20,3.818181818,0.603773585,8,0.472727273,2.345274566,6,6,6,0,0,2,20.47272727,0.682424242,Blue Thumb
33384 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,7/25/2005,2005,7,Summer,Riffle,33384,OK121700-05-0010G_1,1,15,3.854014599,0.6,8,0.474452555,2.066387987,4,6,6,4,0,2,22.47445255,0.864402021,Blue Thumb
35113 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,1/19/2006,2006,1,Winter,Riffle,35113,OK121700-05-0010G_2,2,20,4.032258065,0.617647059,10,0.451612903,2.322654734,6,6,6,2,0,2,22.4516129,0.748387097,Blue Thumb
35763 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,7/20/2006,2006,7,Summer,Riffle,35763,OK121700-05-0010G_2,2,16,4.450819672,0.702380952,8,0.532786885,2.107553381,6,6,6,4,0,2,24.53278689,0.943568726,Blue Thumb
36920 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,2/22/2007,2007,2,Winter,Riffle,36920,OK121700-05-0010G_2,2,20,3.257142857,0.689320388,10,0.476190476,2.328054415,6,6,6,2,0,2,22.47619048,0.749206349,Blue Thumb
37905 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,7/18/2007,2007,7,Summer,Riffle,37905,OK121700-05-0010G_2,2,19,4.079136691,0.62962963,8,0.582733813,2.036376103,6,6,6,4,0,2,24.58273381,0.945489762,Blue Thumb
39285 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,1/24/2008,2008,1,Winter,Riffle,39285,OK121700-05-0010G_2,2,18,4.553030303,0.528301887,8,0.439393939,2.203491892,6,6,6,0,0,2,20.43939394,0.681313131,Blue Thumb
41757 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,8/4/2008,2008,8,Summer,Riffle,41757,OK121700-05-0010G_2,2,19,4.146341463,0.801801802,11,0.495934959,2.255777123,6,6,6,6,0,2,26.49593496,1.0,Blue Thumb
42714 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,1/20/2009,2009,1,Winter,Riffle,42714,OK121700-05-0010G_2,2,18,4.62962963,0.576,12,0.466666667,2.272890767,6,6,6,6,0,2,26.46666667,0.882222222,Blue Thumb
44233 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,8/3/2009,2009,8,Summer,Riffle,44233,OK121700-05-0010G_2,2,19,4.107142857,0.794871795,11,0.535714286,2.218390752,6,6,6,6,0,2,26.53571429,1.0,Blue Thumb
48205 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,3/9/2010,2010,3,Winter,Riffle,48205,OK121700-05-0010G_2,2,19,4.076190476,0.464646465,9,0.295238095,2.621581953,6,6,6,2,4,4,24.2952381,0.80984127,Blue Thumb
48358 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,8/31/2010,2010,8,Summer,Riffle,48358,OK121700-05-0010G_2,2,17,4.11627907,0.84,11,0.604651163,1.863411454,6,6,6,6,0,2,26.60465116,1.0,Blue Thumb
48395 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,1/25/2011,2011,1,Winter,Riffle,48395,OK121700-05-0010G_3,3,15,3.302752294,0.782178218,8,0.623853211,1.854512394,4,6,6,0,0,2,18.62385321,0.620795107,Blue Thumb
48818 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,8/23/2011,2011,8,Summer,Riffle,48818,OK121700-05-0010G_3,3,19,4.362204724,0.752066116,10,0.480314961,2.363000523,6,6,6,6,0,2,26.48031496,1.0,Blue Thumb
49551 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,1/25/2012,2012,1,Winter,Riffle,49551,OK121700-05-0010G_3,3,13,3.684210526,0.554545455,9,0.798245614,1.486311325,2,6,6,2,0,0,16.79824561,0.55994152,Blue Thumb
49768 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,9/6/2012,2012,9,Summer,Riffle,49768,OK121700-05-0010G_3,3,16,4.31147541,0.771186441,8,0.385245902,2.355651906,6,6,6,4,2,2,24.3852459,0.937894073,Blue Thumb
51485 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,3/6/2013,2013,3,Winter,Riffle,51485,OK121700-05-0010G_3,3,14,5.816,0.04,4,0.816,1.135833447,4,2,0,0,0,0,6.816,0.2272,Blue Thumb
51650 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,7/11/2013,2013,7,Summer,Riffle,51650,OK121700-05-0010G_3,3,18,4.265486726,0.942307692,13,0.681415929,1.722845811,6,6,6,6,0,2,26.68141593,1.0,Blue Thumb
52821 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,1/30/2014,2014,1,Winter,Riffle,52821,OK121700-05-0010G_3,3,21,4.882882883,0.287037037,10,0.54954955,2.2092951,6,4,4,2,0,2,18.54954955,0.618318318,Blue Thumb
54198 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,8/5/2014,2014,8,Summer,Riffle,54198,OK121700-05-0010G_3,3,24,4.665853659,0.675213675,11,0.333333333,2.783372234,6,6,6,6,2,4,28.33333333,1.0,Blue Thumb
54870 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,2/4/2015,2015,2,Winter,Riffle,54870,OK121700-05-0010G_3,3,17,3.5936,0.591304348,9,0.68,1.847464617,4,6,6,2,0,2,20.68,0.689333333,Blue Thumb
55806 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,8/12/2015,2015,8,Summer,Riffle,55806,OK121700-05-0010G_3,3,17,4.88,0.631944444,10,0.503030303,2.105736707,6,6,6,6,0,2,26.5030303,1.0,Blue Thumb
56586 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,3/7/2016,2016,3,Winter,Riffle,56586,OK121700-05-0010G_4,4,17,4.441584158,0.574257426,10,0.524752475,2.22786826,4,6,6,2,0,2,20.52475248,0.684158416,Blue Thumb
56740 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,8/11/2016,2016,8,Summer,Riffle,56740,OK121700-05-0010G_4,4,16,4.315533981,0.680555556,6,0.495145631,2.15641996,6,6,6,0,0,2,20.49514563,0.788274832,Blue Thumb
57622 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,2/9/2017,2017,2,Winter,Riffle,57622,OK121700-05-0010G_4,4,18,4.761904762,0.422222222,11,0.419047619,2.39369368,6,4,6,4,0,2,22.41904762,0.747301587,Blue Thumb
58720 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,9/15/2017,2017,9,Summer,Riffle,58720,OK121700-05-0010G_4,4,22,3.9,0.69047619,12,0.38,2.495201174,6,6,6,6,2,2,26.38,1.0,Blue Thumb
58803 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,1/19/2018,2018,1,Winter,Riffle,58803,OK121700-05-0010G_4,4,21,4.7,0.467391304,13,0.459677419,2.395367634,6,6,6,6,0,2,26.45967742,0.881989247,Blue Thumb
60652 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,8/25/2018,2018,8,Summer,Riffle,60652,OK121700-05-0010G_4,4,20,4.084090909,0.650406504,11,0.325757576,2.603304875,6,6,6,6,2,4,28.32575758,1.0,Blue Thumb
62367 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,9/4/2019,2019,9,Summer,Riffle,62367,OK121700-05-0010G_4,4,18,4.478125,0.702479339,10,0.4375,2.317628772,6,6,6,6,0,2,26.4375,1.0,Blue Thumb
62791 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,2/21/2020,2020,2,Winter,Riffle,62791,OK121700-05-0010G_4,4,18,4.423529412,0.529411765,11,0.549019608,2.01924082,6,6,6,4,0,2,24.54901961,0.818300654,Blue Thumb
63526 Riffle,Baron Fork River: Welling Road,OK121700-05-0010G,OK121700050010_00,35.86811111,-94.897,Ozark Highlands,8/12/2020,2020,8,Summer,Riffle,63526,OK121700-05-0010G_4,4,17,4.331818182,0.402777778,9,0.553030303,2.005134579,6,6,6,6,0,2,26.5530303,1.0,Blue Thumb
