site_name,wbid,ir_wbid,latitude,longitude,sample_id,collection_date,year,huc_8,riverbasin,cycle,pcid,comid,basin,mod_ecoregion,oldecoregion,watershed_area,fwp,totalindividuals,total_species,sensitive_benthic_species,sunfish_species,intolerant_species,proportion_tolerant,proportion_insectivorous,proportion_lithophilic,percentdelt,total_species_score,sensitive_benthic_score,sunfish_species_score,intolerant_species_score,tolerant_score,insectivorous_score,lithophilic_score,total_score,comparison_to_reference,integrity_class,lettergrade,task,collection_date_str,score_validated
Bishop Creek: Constitution Street,OK520610-01-0180P,OK520610010180_00,35.18957778,-97.42893333,44246,2009-08-25,2009,11090202,Canadian R.,2,OK520610-01-0180P_2,6025982,U Canadian,Central Great Plains,Central Great Plains,37.197,WWAC,697,7,0,3,0,0.658536585,0.341463415,0.0,0,3,1,5,1,1,3,1,15,0.670241287,Fair,,Blue Thumb,2009-08-25,True
Bishop Creek: Constitution Street,OK520610-01-0180P,OK520610010180_00,35.18958,-97.42893,53924,2014-09-09,2014,11090202,Canadian R.,3,OK520610-01-0180P_3,6025982,U Canadian,Central Great Plains,Central Great Plains,37.197,WWAC,1706,6,0,2,0,0.886283705,0.113716295,0.0,0,3,1,3,1,1,1,1,11,0.491510277,Poor,,Blue Thumb,2014-09-09,True
Bishop Creek: Constitution Street,OK520610-01-0180P,OK520610010180_00,35.18958,-97.42893,60203,2018-06-12,2018,11090202,Canadian R.,4,OK520610-01-0180P_4,6025982,U Canadian,Central Great Plains,Central Great Plains,37.197,WWAC,499,7,0,3,0,0.955911824,0.044088176,0.0,0,3,1,5,1,1,1,1,13,0.580875782,Poor,,Blue Thumb,2018-06-12,True
Bishop Creek: Eastwoods Park,OK520610-01-0180W,OK520610010180_00,35.21316,-97.43333,49700,2012-06-29,2012,11090202,Canadian R.,3,OK520610-01-0180W_3,6025924,U Canadian,Central Great Plains,Central Great Plains,4.6629,WWAC,246,4,0,2,0,1.0,0.0,0.0,0,1,1,3,1,1,1,1,9,0.402144772,Very Poor,,Blue Thumb,2012-06-29,True
Bishop Creek: Eastwoods Park,OK520610-01-0180W,OK520610010180_00,35.21316,-97.43333,60205,2018-06-18,2018,11090202,Canadian R.,4,OK520610-01-0180W_4,6025924,U Canadian,Central Great Plains,Central Great Plains,4.6629,WWAC,429,6,0,2,0,0.82983683,0.17016317,0.0,0,3,1,3,1,1,1,1,11,0.491510277,Poor,,Blue Thumb,2018-06-18,True
Bishop Creek: Lindsey Street,OK520610-01-0180R,OK520610010180_00,35.20375,-97.43582,49144,2011-07-26,2011,11090202,Canadian R.,3,OK520610-01-0180R_3,6025982,U Canadian,Central Great Plains,Central Great Plains,37.197,WWAC,1292,7,0,2,0,0.998452012,0.001547988,0.0,0,3,1,3,1,1,1,1,11,0.491510277,Poor,,Blue Thumb,2011-07-26,True
Bixby Creek: Riverview,OK120420-01-0015P,OK120420010010_00,35.932747,-95.876903,48346,2010-08-23,2010,11110101,Arkansas R.,2,OK120420-01-0015P_2,370761,Arkansas-Canadian,Central Irregular Plains,Central Irregular Plains,11.6289,WWAC,4905,19,2,9,1,0.96941896,0.0,0.004077472,0,5,3,5,1,1,1,1,17,0.726495726,Fair,,Blue Thumb,2010-08-23,True
Black Fork of Poteau River: CR D1513,OK220100-02-0040D,OK220100020040_00,34.8245166,-94.62565,33825,2005-09-30,2005,11110105,Arkansas R.,1,OK220100-02-0040D_1,6048362,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,500.4981,WWAC,53,10,1,5,1,0.245283019,0.0,0.037735849,0,3,1,5,1,3,1,1,15,0.555555556,Poor,,Blue Thumb,2005-09-30,True
Black Fork of Poteau River: CR D1513,OK220100-02-0040D,OK220100020040_00,34.8245166,-94.62565,36250,2006-08-23,2006,11110105,Arkansas R.,2,OK220100-02-0040D_2,6048362,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,500.4981,WWAC,284,18,4,8,5,0.809859155,0.007042254,0.14084507,0,5,3,5,5,1,1,1,21,0.777777778,Good,,Blue Thumb,2006-08-23,True
Blackboy Creek: Limestone Crossing (aka Bigheart Creek),OK120420-01-0140T,OK120420010140_00,36.1726111,-96.0825833,35737,2010-06-21,2006,11110101,Arkansas R.,2,OK120420-01-0140T_2,368581,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,4.329,WWAC,79,6,1,2,0,0.886075949,0.0,0.113924051,0,1,1,1,1,1,1,1,7,0.307692308,Very Poor,,Blue Thumb,2010-06-21,True
Blackboy Creek: Limestone Crossing (aka Bigheart Creek),OK120420-01-0140T,OK120420010140_00,36.1726111,-96.0825833,48221,2010-06-21,2010,11110101,Arkansas R.,2,OK120420-01-0140T_2,368581,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,4.329,WWAC,92,6,1,4,0,0.934782609,0.0,0.065217391,0,1,1,3,1,1,1,1,9,0.395604396,Very Poor,,Blue Thumb,2010-06-21,True
Bluff Creek: Battiest,OK410210-09-0160K,OK410210090160_00,34.4491388,-94.9401666,37352,2007-06-11,2007,11140107,Little R.,2,OK410210-09-0160K_2,616330,L Red,Ouachita Mountains,Ouachita Mountains,18.0963,CWAC,73,5,2,1,2,0.068493151,0.561643836,0.890410959,0,1,3,1,3,5,5,5,23,0.821428571,Good,,Blue Thumb,2007-06-11,True
Bluff Creek: Battiest,OK410210-09-0160K,OK410210090160_00,34.4491388,-94.9401666,48469,2007-06-11,2011,11140107,Little R.,2,OK410210-09-0160K_2,616330,L Red,Ouachita Mountains,Ouachita Mountains,18.0963,CWAC,50,8,3,2,5,0.3,0.14,0.62,0,3,3,3,5,1,1,5,21,0.75,Fair,,Blue Thumb,2007-06-11,True
Bluff Creek: Battiest,OK410210-09-0160K,OK410210090160_00,34.44914,-94.94017,56728,2016-08-08,2016,11140107,Little R.,3,OK410210-09-0160K_3,616330,L Red,Ouachita Mountains,Ouachita Mountains,18.0963,CWAC,24,7,2,2,2,0.25,0.125,0.5,0,3,3,3,3,3,1,5,21,0.75,Fair,,Blue Thumb,2016-08-08,True
Bluff Creek: NW 150th,OK620910-04-0140G,OK620910040140_00,35.62380556,-97.6,31145,2004-09-17,2004,11050002,Cimarron R.,1,OK620910-04-0140G_1,254786,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,34710.53,WWAC,804,18,3,5,1,0.823383085,0.106965174,0.065920398,0,5,5,5,5,1,1,1,23,1.027703307,Excellent,,Blue Thumb,2004-09-17,True
Bluff Creek: NW 150th,OK620910-04-0140G,OK620910040140_00,35.62380556,-97.6,44249,2009-08-26,2009,11050002,Cimarron R.,2,OK620910-04-0140G_2,254786,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,34710.53,WWAC,896,16,2,6,1,0.734375,0.2421875,0.020089286,0,5,5,5,5,1,3,1,25,1.117068811,Excellent,,Blue Thumb,2009-08-26,True
Bluff Creek: NW 150th,OK620910-04-0140G,OK620910040140_00,35.62381,-97.6,53923,2014-09-08,2014,11050002,Cimarron R.,3,OK620910-04-0140G_3,254786,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,34710.53,WWAC,1371,16,2,5,1,0.872355945,0.086068563,0.032822757,0,5,5,5,5,1,1,1,23,1.027703307,Excellent,,Blue Thumb,2014-09-08,True
Boomer Creek @ 3rd Ave.,OK620900-04-0180B,OK620900040180_00,36.1191,-97.0518,62336,2019-09-12,2019,11050003,Cimarron R.,4,OK620900-04-0180B_4,492060,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,30.6198,WWAC,420,13,1,7,1,0.904761905,0.004761905,0.0,0,3,1,5,3,1,1,1,15,0.659340659,Fair,,Blue Thumb,2019-09-12,True
Boomer Creek @ S. Perkins Rd,OK620900-04-0140X,OK620900040140_00,36.11224,-97.0515,53895,2014-07-15,2014,11050003,Cimarron R.,3,OK620900-04-0140X_3,492148,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,43.578,WWAC,528,7,0,5,0,0.998106061,0.0,0.0,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2014-07-15,True
Boomer Creek @ S. Perkins Rd,OK620900-04-0140X,OK620900040140_00,36.11224,-97.0515,62329,2019-08-05,2019,11050003,Cimarron R.,4,OK620900-04-0140X_4,492148,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,43.578,WWAC,877,19,2,7,1,0.901938426,0.001140251,0.0,0,5,3,5,3,1,1,1,19,0.835164835,Good,,Blue Thumb,2019-08-05,True
Boomer Creek: McElroy,OK620900-04-0180G,OK620900040180_00,36.1302777,-97.0558611,33760,2005-08-18,2005,11050003,Cimarron R.,1,OK620900-04-0180G_1,492036,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,28.1943,WWAC,344,8,0,3,0,1.0,0.0,0.0,0,3,1,3,1,1,1,1,11,0.483516484,Poor,,Blue Thumb,2005-08-18,True
Brookhaven Creek: North of Main,OK520610-01-0205V,OK520610010205_00,35.219267,-97.502944,48538,2010-08-16,2010,11090202,Canadian R.,2,OK520610-01-0205V_2,6026188,U Canadian,Central Great Plains,Central Great Plains,22.2966,WWAC,330,4,0,2,0,1.0,0.0,0.0,0,1,1,3,1,1,1,1,9,0.402144772,Very Poor,,Blue Thumb,2010-08-16,True
Brookhaven Creek: North of Main,OK520610-01-0205V,OK520610010205_00,35.219267,-97.502944,48345,2010-08-16,2010,11090202,Canadian R.,2,OK520610-01-0205V_2,6026188,U Canadian,Central Great Plains,Central Great Plains,22.2966,WWAC,223,8,0,4,0,0.99103139,0.00896861,0.0,0,3,1,5,1,1,1,1,13,0.580875782,Poor,,Blue Thumb,2010-08-16,True
Brookhaven Creek: North of Main,OK520610-01-0205V,OK520610010205_00,35.21927,-97.50294,60211,2018-07-18,2018,11090202,Canadian R.,4,OK520610-01-0205V_4,6026188,U Canadian,Central Great Plains,Central Great Plains,22.2966,WWAC,167,8,0,5,0,1.0,0.0,0.0,0,3,1,5,1,1,1,1,13,0.580875782,Poor,,Blue Thumb,2018-07-18,True
Brush Creek,OK121600-05-0140J,OK121600050140_00,36.4054,-94.7956,57006,2017-01-17,2016,11070209,Arkansas R.,4,OK121600-05-0140J_4,21770691,Neosho-Grand,Ouachita Mountains,Ozark Highlands,71.1126,CWAC,1315,12,6,1,9,0.0,0.320912548,1.0,0,3,5,1,5,5,3,5,27,0.964285714,Excellent,,Blue Thumb,2017-01-17,True
Brush Creek,OK121600-05-0140J,OK121600050140_00,36.4054,-94.7956,65651,2021-07-22,2021,11070209,Arkansas R.,5,OK121600-05-0140J_5,21770691,Neosho-Grand,Ozark Highlands,,27.18190282,CWAC,1058,12,6,1,8,0.0,0.203213611,0.99905482,0,5,5,1,5,5,3,5,29,0.861300861,Good,B,Blue Thumb,2021-07-22,True
Brush Creek,OK121600-05-0140J,OK121600050140_00,36.4054,-94.7956,65651,2021-07-22,2021,11070209,Arkansas R.,5,OK121600-05-0140J_5,21770691,Neosho-Grand,Ozark Highlands,,27.18190282,CWAC,1058,12,6,1,8,0.00094518,0.203213611,0.99905482,0,5,5,1,5,5,3,5,29,0.861300861,Good,B,Blue Thumb,2021-07-22,True
Buckhorn Creek: Binderim Road,OK310800-02-0220D,OK310800020220_00,34.43369444,-96.94388889,33822,2005-09-20,2005,11130303,Washita R.,1,OK310800-02-0220D_1,19960384,Washita-Red,Cross Timbers,Central Oklahoma/Texas Plains,7.6455,WWAC,244,12,3,5,0,0.459016393,0.057377049,0.282786885,0,3,5,5,1,1,1,3,19,0.835164835,Good,,Blue Thumb,2005-09-20,True
Buffalo Creek: Ballard,OK410210-06-0020W,OK410210060020_00,34.3908888,-94.4725833,33817,2005-09-01,2005,11140108,Little R.,1,OK410210-06-0020W_1,630087,L Red,Ouachita Mountains,Ouachita Mountains,172.0665,CWAC,942,15,3,3,5,0.007430998,0.6507431,0.071125265,0,5,3,3,5,5,5,1,27,0.964285714,Excellent,,Blue Thumb,2005-09-01,True
Buffalo Creek: Ballard,OK410210-06-0020W,OK410210060020_00,34.39089,-94.47258,48863,2011-06-30,2011,11140108,Little R.,2,OK410210-06-0020W_2,630087,L Red,Ouachita Mountains,Ouachita Mountains,172.0665,CWAC,438,13,3,5,3,0.801369863,0.0,0.180365297,0,5,3,5,3,1,1,3,21,0.75,Fair,,Blue Thumb,2011-06-30,True
Buffalo Creek: Ballard,OK410210-06-0020W,OK410210060020_00,34.3908888,-94.4725833,48472,2011-06-30,2011,11140108,Little R.,2,OK410210-06-0020W_2,630087,L Red,Ouachita Mountains,Ouachita Mountains,172.0665,CWAC,96,11,2,5,3,0.354166667,0.21875,0.635416667,0,3,3,5,3,1,3,5,23,0.821428571,Good,,Blue Thumb,2011-06-30,True
Buffalo Creek: Cosby,OK620920-05-0010T,OK620920050010_00,36.84039,-99.69523,44195,2009-06-25,2009,11050001,Cimarron R.,2,OK620920-05-0010T_2,21043526,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,181.1493,WWAC,252,12,2,3,1,0.714285714,0.142857143,0.142857143,0,5,5,5,5,1,1,1,23,1.027703307,Excellent,,Blue Thumb,2009-06-25,True
Buffalo Creek: Hwy 74B,OK520610-03-0110G,OK520610030110_00,35.1025,-97.61137,37895,2007-07-09,2007,11090202,Canadian R.,2,OK520610-03-0110G_2,6026042,U Canadian,Cross Timbers,Central Oklahoma/Texas Plains,21.2589,WWAC,255,9,0,5,0,0.890196078,0.105882353,0.0,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2007-07-09,True
Campbell Creek: OCU Property,OK520520-00-0230M,OK520520000230_00,35.41521,-97.6515,37353,2007-06-13,2007,11100301,Canadian R.,2,OK520520-00-0230M_2,393380,Arkansas-Canadian,Central Great Plains,Central Great Plains,17.3925,WWAC,578,11,0,6,0,0.989619377,0.008650519,0.0,0,5,1,5,1,1,1,1,15,0.670241287,Fair,,Blue Thumb,2007-06-13,True
Campbell Creek: OCU Property,OK520520-00-0230M,OK520520000230_00,35.41521,-97.6515,48464,2011-06-17,2011,11100301,Canadian R.,3,OK520520-00-0230M_3,393380,Arkansas-Canadian,Central Great Plains,Central Great Plains,17.3925,WWAC,252,8,0,3,0,1.0,0.0,0.0,0,3,1,5,1,1,1,1,13,0.580875782,Poor,,Blue Thumb,2011-06-17,True
Caston Creek: CR 149,OK220100-01-0180C,OK220100010180_00,34.96628,-94.75188,38161,2007-08-01,2007,11110105,Arkansas R.,2,OK220100-01-0180C_2,6048160,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,100.4967,WWAC,73,17,2,5,2,0.547945205,0.054794521,0.150684932,0,5,1,5,3,1,1,1,17,0.62962963,Fair,,Blue Thumb,2007-08-01,True
Caston Creek: CR 149,OK220100-01-0180C,OK220100010180_00,34.96628,-94.75188,48864,2011-09-16,2011,11110105,Arkansas R.,3,OK220100-01-0180C_3,6048160,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,100.4967,WWAC,94,13,1,6,0,0.882978723,0.0,0.095744681,0,3,1,5,1,1,1,1,13,0.481481481,Poor,,Blue Thumb,2011-09-16,True
Cedar Hollow Creek: Nickel Preserve,OK121700-03-0110J,OK121700030110_00,35.99871,-94.89736,48341,2010-08-09,2010,11110103,Illinois R.,2,OK121700-03-0110J_2,399850,Arkansas-Canadian,Ouachita Mountains,Ozark Highlands,7.8651,WWAC,287,4,2,0,2,0.0,0.0,1.0,0,1,3,1,3,5,1,5,19,0.72161033,Fair,,Blue Thumb,2010-08-09,True
Cedar Hollow Creek: Nickel Preserve,OK121700-03-0110J,OK121700030110_00,35.99871,-94.89736,58621,2017-06-26,2017,11110103,Illinois R.,4,OK121700-03-0110J_4,399850,Arkansas-Canadian,Ouachita Mountains,Ozark Highlands,7.8651,WWAC,150,3,1,0,1,0.0,0.0,1.0,0,1,1,1,1,5,1,5,15,0.569692366,Poor,,Blue Thumb,2017-06-26,True
Chisholm Creek: Western,OK620910-04-0100T,OK620910040100_00,35.6233,-97.5335,33757,2005-08-09,2005,11050002,Cimarron R.,1,OK620910-04-0100T_1,254814,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,19.0872,WWAC,358,11,2,6,1,0.51396648,0.011173184,0.446927374,0,3,3,5,3,1,1,5,21,0.923076923,Excellent,,Blue Thumb,2005-08-09,True
Chisholm Creek: Western,OK620910-04-0100T,OK620910040100_00,35.6233,-97.5335,44186,2009-06-11,2009,11050002,Cimarron R.,2,OK620910-04-0100T_2,254814,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,19.0872,WWAC,404,12,0,6,0,1.0,0.0,0.0,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2009-06-11,True
Chisholm Creek: Western,OK620910-04-0100T,OK620910040100_00,35.6233,-97.5335,53903,2014-08-14,2014,11050002,Cimarron R.,3,OK620910-04-0100T_3,254814,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,19.0872,WWAC,316,9,0,5,0,1.0,0.0,0.0,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2014-08-14,True
Chisholm Creek: Western,OK620910-04-0100T,OK620910040100_00,35.6233,-97.5335,62317,2019-07-01,2019,11050002,Cimarron R.,4,OK620910-04-0100T_4,254814,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,19.0872,WWAC,158,12,0,8,0,0.962025316,0.0,0.0,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2019-07-01,True
Chisholm Creek: NW 186 & Western,OK620910-04-0100L,OK620910040100_10,35.660447,-97.532443,62326,2019-07-26,2019,11050002,Cimarron R.,4,OK620910-04-0100L_4,254578,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,62.3583,WWAC,344,13,1,6,0,0.950581395,0.0,0.031976744,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2019-07-26,True
Chisholm Creek: Sorghum Mill Rd,OK620910-04-0100I,OK620910040100_00,35.71095,-97.53001,55659,2015-06-03,2015,11050002,Cimarron R.,3,OK620910-04-0100I_3,254408,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,95.3775,WWAC,437,11,0,5,0,0.986270023,0.0,0.00228833,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2015-06-03,True
Clear Boggy Creek: Hwy 377,OK410400-04-0010U,OK410400040010_00,34.703326,-96.63493,63597,2020-07-15,2020,11140104,Lower Red R.,4,OK410400-04-0010U_4,6066470,L Red,Arkansas Valley,Arkansas Valley,46.6551,WWAC,870,20,4,7,2,0.447126437,0.27816092,0.287356322,0,5,3,5,3,1,3,3,23,0.851851852,Good,,Blue Thumb,2020-07-15,True
Clear Boggy Creek: Winter Smith Bridge,OK410400-04-0010X,OK410400040010_00,34.75786,-96.65497,63593,2020-06-19,2020,11140104,Lower Red R.,4,OK410400-04-0010X_4,6066250,L Red,Arkansas Valley,Arkansas Valley,5.1489,WWAC,258,10,0,7,0,0.968992248,0.0,0.0,0,3,1,5,1,1,1,1,13,0.481481481,Poor,,Blue Thumb,2020-06-19,True
Cloudy Creek,OK410210-02-0300H,OK410210020300_00,34.30374,-95.28748,56719,2016-07-26,2016,11140107,Little R.,3,OK410210-02-0300H_3,617328,L Red,Ouachita Mountains,Ouachita Mountains,85.3281,CWAC,119,13,3,5,3,0.647058824,0.025210084,0.092436975,0,5,3,5,3,1,1,1,19,0.678571429,Fair,,Blue Thumb,2016-07-26,True
Coal Creek: EW 137 Road (Mail Route Road),OK220600-01-0200K,OK220600010200_00,35.0337,-96.16512,48467,2011-06-22,2011,11090204,Canadian R.,3,OK220600-01-0200K_3,513895,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,42.6978,WWAC,447,14,3,5,2,0.814317673,0.008948546,0.055928412,0,3,3,5,3,1,1,1,17,0.62962963,Fair,,Blue Thumb,2011-06-22,True
Coal Creek: Hwy 11,OK121300-01-0090M,OK121300010090_00,36.19555556,-95.915,25848,2002-08-23,2002,11070107,Arkansas R.,1,OK121300-01-0090M_1,847340,Neosho-Grand,Central Irregular Plains,Central Irregular Plains,23.7627,WWAC,761,10,2,5,0,0.423127464,0.0,0.576872536,0,3,3,5,1,1,1,5,19,0.811965812,Good,,Blue Thumb,2002-08-23,True
Coal Creek: Hwy 11,OK121300-01-0090M,OK121300010090_00,36.19555556,-95.915,38173,2007-08-20,2007,11070107,Arkansas R.,2,OK121300-01-0090M_2,847340,Neosho-Grand,Central Irregular Plains,Central Irregular Plains,23.7627,WWAC,1009,17,2,7,0,0.433102081,0.0,0.556987116,0,5,3,5,1,1,1,5,21,0.897435897,Excellent,,Blue Thumb,2007-08-20,True
Coal Creek: Hwy 11,OK121300-01-0090M,OK121300010090_00,36.19555556,-95.915,49688,2012-06-11,2012,11070107,Arkansas R.,3,OK121300-01-0090M_3,847340,Neosho-Grand,Central Irregular Plains,Central Irregular Plains,23.7627,WWAC,1262,16,3,7,1,0.717115689,0.0,0.127575277,0,5,3,5,1,1,1,1,17,0.726495726,Fair,,Blue Thumb,2012-06-11,True
Coal Creek: Hwy 11,OK121300-01-0090M,OK121300010090_00,36.19556,-95.915,49691,2012-06-11,2012,11070107,Arkansas R.,3,OK121300-01-0090M_3,847340,Neosho-Grand,Central Irregular Plains,Central Irregular Plains,23.7627,WWAC,927,14,3,6,1,0.645091694,0.0,0.269687163,0,3,3,5,1,1,1,3,17,0.726495726,Fair,,Blue Thumb,2012-06-11,True
Coal Creek: Hwy 11,OK121300-01-0090M,OK121300010090_00,36.19556,-95.915,56751,2016-08-19,2016,11070107,Arkansas R.,4,OK121300-01-0090M_4,847340,Neosho-Grand,Central Irregular Plains,Central Irregular Plains,23.7627,WWAC,419,10,2,5,1,0.76849642,0.0,0.207637232,0,3,3,5,1,1,1,3,17,0.726495726,Fair,,Blue Thumb,2016-08-19,True
Coffee Creek: N Sooner Rd,OK520710-01-0100R,OK520710010100_00,35.6899,-97.42504,62321,2019-07-15,2019,11100303,Canadian R.,4,OK520710-01-0100R_4,532667,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,26.8758,WWAC,157,8,0,5,0,0.961783439,0.025477707,0.012738854,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2019-07-15,True
Cow Creek: Hwy 51,OK620900-04-0200B,OK620900040200_00,36.11605,-97.09904,55665,2015-06-25,2015,11050003,Cimarron R.,3,OK620900-04-0200B_3,492086,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,32.8203,WWAC,312,12,0,7,0,0.951923077,0.0,0.0,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2015-06-25,True
Cow Creek: Hwy 51,OK620900-04-0200B,OK620900040200_00,36.11605,-97.09904,55662,2015-06-25,2015,11050003,Cimarron R.,3,OK620900-04-0200B_3,492086,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,32.8203,WWAC,772,15,1,6,1,0.968911917,0.005181347,0.00388601,0,5,1,5,3,1,1,1,17,0.747252747,Fair,,Blue Thumb,2015-06-25,True
