Site_Name,Date,do_percent,pH,Nitrate,Nitrite,Ammonia,Phosphorus,Chloride,Year,Month,soluble_nitrogen
Bandy Creek: Pleasant Hill Road,2005-05-03,60.0,7.0,0.6,,0.2,0.005,15.0,2005,5,0.83
Bandy Creek: Pleasant Hill Road,2005-06-06,,7.5,0.3,,5.1,0.166,15.0,2005,6,5.43
Bandy Creek: Pleasant Hill Road,2005-07-16,55.0,7.0,0.08,,0.4,0.107,10.0,2005,7,0.51
Bandy Creek: Pleasant Hill Road,2005-08-02,25.0,7.0,1.0,0.3,0.4,0.213,20.0,2005,8,1.7
Bandy Creek: Pleasant Hill Road,2005-09-08,21.0,7.0,1.0,0.15,0.5,0.213,15.0,2005,9,1.65
Bandy Creek: Pleasant Hill Road,2005-10-13,43.0,7.0,1.0,0.15,0.03,0.18,20.0,2005,10,1.18
Bandy Creek: Pleasant Hill Road,2005-11-08,55.0,7.5,1.0,0.15,0.03,0.266,25.0,2005,11,1.18
Bandy Creek: Pleasant Hill Road,2005-12-01,70.0,7.25,1.0,0.03,0.03,0.08,20.0,2005,12,1.06
Bandy Creek: Pleasant Hill Road,2006-01-12,53.0,7.0,1.0,0.03,5.1,0.166,25.0,2006,1,6.13
Bandy Creek: Pleasant Hill Road,2006-02-13,64.0,7.25,1.0,0.15,4.0,0.287,25.0,2006,2,5.15
Bandy Creek: Pleasant Hill Road,2006-03-01,120.0,8.0,1.0,0.15,0.4,0.4,25.0,2006,3,1.55
Bandy Creek: Pleasant Hill Road,2006-04-13,48.0,7.0,1.0,0.15,0.8,0.226,20.0,2006,4,1.95
Bandy Creek: Pleasant Hill Road,2006-05-08,67.0,7.0,0.5,0.15,0.1,0.166,10.0,2006,5,0.75
Bandy Creek: Pleasant Hill Road,2006-06-07,20.0,7.0,1.0,0.15,1.0,0.173,15.0,2006,6,2.15
Bandy Creek: Pleasant Hill Road,2006-07-13,29.0,7.5,1.0,0.15,0.6,0.266,10.0,2006,7,1.75
Bandy Creek: Pleasant Hill Road,2006-08-14,26.0,7.0,2.0,0.3,0.4,0.007,20.0,2006,8,2.7
Bandy Creek: Pleasant Hill Road,2006-09-11,51.0,6.5,5.0,0.3,0.2,0.007,25.0,2006,9,5.5
Bandy Creek: Pleasant Hill Road,2006-10-04,47.0,7.0,,,0.1,0.073,,2006,10,0.43
Bandy Creek: Pleasant Hill Road,2006-11-01,55.0,7.0,,,0.1,0.1,20.0,2006,11,0.43
Bandy Creek: Pleasant Hill Road,2007-01-09,75.0,7.25,1.0,0.15,0.2,0.053,10.0,2007,1,1.35
Bandy Creek: Pleasant Hill Road,2007-02-06,90.0,7.25,2.0,0.08,0.1,0.007,15.0,2007,2,2.18
Bandy Creek: Pleasant Hill Road,2007-03-05,82.0,7.75,5.0,0.15,0.1,0.14,20.0,2007,3,5.25
Bandy Creek: Pleasant Hill Road,2007-04-06,38.0,7.5,0.15,2.0,0.2,0.067,20.0,2007,4,2.35
Bandy Creek: Pleasant Hill Road,2007-05-14,,7.0,2.0,0.15,0.1,0.007,10.0,2007,5,2.25
Bandy Creek: Pleasant Hill Road,2007-06-13,65.0,7.5,2.0,0.15,0.1,0.007,15.0,2007,6,2.25
Bandy Creek: Pleasant Hill Road,2007-07-11,86.0,7.5,1.0,0.15,0.1,0.007,10.0,2007,7,1.25
Bandy Creek: Pleasant Hill Road,2007-08-08,41.0,7.5,5.0,0.15,0.1,0.007,20.0,2007,8,5.25
Bandy Creek: Pleasant Hill Road,2007-09-14,38.0,7.5,1.0,0.08,0.1,0.007,15.0,2007,9,1.18
Bandy Creek: Pleasant Hill Road,2007-10-02,73.0,7.25,5.0,0.15,0.1,0.007,20.0,2007,10,5.25
Bandy Creek: Pleasant Hill Road,2007-11-09,38.0,7.0,1.0,0.08,0.1,0.007,15.0,2007,11,1.18
Bandy Creek: Pleasant Hill Road,2007-12-19,65.0,7.0,1.5,0.08,0.1,0.007,10.0,2007,12,1.68
Bandy Creek: Pleasant Hill Road,2008-01-07,100.0,7.5,5.0,0.15,0.1,0.007,25.0,2008,1,5.25
Bandy Creek: Pleasant Hill Road,2008-02-05,90.0,7.5,5.0,0.15,0.1,0.007,25.0,2008,2,5.25
Bandy Creek: Pleasant Hill Road,2008-03-10,36.0,7.0,0.5,0.08,0.1,0.007,10.0,2008,3,0.68
Bandy Creek: Pleasant Hill Road,2008-04-07,91.0,7.0,0.5,0.08,0.1,0.007,10.0,2008,4,0.68
Bandy Creek: Pleasant Hill Road,2008-05-12,75.0,7.3,2.0,0.15,0.1,0.007,20.0,2008,5,2.25
Bandy Creek: Pleasant Hill Road,2008-06-02,63.0,7.0,5.0,0.15,0.2,0.007,20.0,2008,6,5.35
Bandy Creek: Pleasant Hill Road,2008-07-02,65.0,7.0,2.0,0.15,0.1,0.007,20.0,2008,7,2.25
Bandy Creek: Pleasant Hill Road,2008-08-14,65.0,7.0,0.5,0.08,0.1,0.007,10.0,2008,8,0.68
Bandy Creek: Pleasant Hill Road,2008-10-10,66.0,7.0,1.5,0.08,0.1,0.007,15.0,2008,10,1.68
Bandy Creek: Pleasant Hill Road,2008-11-04,54.0,7.0,2.0,0.08,0.1,0.007,20.0,2008,11,2.18
Bandy Creek: Pleasant Hill Road,2008-12-02,73.0,7.0,2.0,0.08,0.1,0.007,20.0,2008,12,2.18
Bandy Creek: Pleasant Hill Road,2009-01-07,32.0,7.5,2.0,0.08,0.1,0.007,20.0,2009,1,2.18
Bandy Creek: Pleasant Hill Road,2009-02-03,66.0,7.5,1.0,0.08,0.1,0.007,20.0,2009,2,1.18
Bandy Creek: Pleasant Hill Road,2009-03-26,90.0,7.6,2.0,0.08,0.1,0.007,20.0,2009,3,2.18
Bandy Creek: Pleasant Hill Road,2009-05-21,77.0,7.2,,,0.1,0.007,15.0,2009,5,0.43
Bandy Creek: Pleasant Hill Road,2009-06-16,80.0,7.0,,,0.1,0.007,10.0,2009,6,0.43
Bandy Creek: Pleasant Hill Road,2009-07-21,80.0,7.1,5.0,,0.1,0.02,25.0,2009,7,5.13
Bandy Creek: Pleasant Hill Road,2009-08-25,95.0,7.6,,,0.1,0.08,15.0,2009,8,0.43
Bandy Creek: Pleasant Hill Road,2009-09-30,106.0,7.7,2.0,,0.1,0.053333333,15.0,2009,9,2.13
Bandy Creek: Pleasant Hill Road,2009-11-30,90.0,7.4,,,0.2,0.08,15.0,2009,11,0.53
Bandy Creek: Pleasant Hill Road,2009-12-28,57.0,7.2,,,0.1,0.007,15.0,2009,12,0.43
Bandy Creek: Pleasant Hill Road,2010-01-22,75.0,7.1,2.0,,0.1,0.007,20.0,2010,1,2.13
Bandy Creek: Pleasant Hill Road,2010-02-24,96.0,7.4,0.5,,0.1,0.026666667,15.0,2010,2,0.63
Bandy Creek: Pleasant Hill Road,2010-03-19,81.0,7.3,3.0,,0.2,0.007,20.0,2010,3,3.23
Bandy Creek: Pleasant Hill Road,2010-05-27,58.0,7.1,1.0,0.15,0.3,0.007,15.0,2010,5,1.45
Bandy Creek: Pleasant Hill Road,2010-06-21,69.0,7.5,3.0,0.15,0.2,0.06,20.0,2010,6,3.35
Bandy Creek: Pleasant Hill Road,2010-08-19,69.0,7.3,5.0,,0.2,0.007,20.0,2010,8,5.23
Bandy Creek: Pleasant Hill Road,2010-09-30,80.0,7.0,4.0,,0.1,0.007,25.0,2010,9,4.13
Bandy Creek: Pleasant Hill Road,2010-10-28,58.0,7.1,2.0,,0.1,0.08,15.0,2010,10,2.13
Bandy Creek: Pleasant Hill Road,2010-12-16,56.0,7.0,,,0.8,0.007,20.0,2010,12,1.13
Bandy Creek: Pleasant Hill Road,2011-05-25,,,,,,,,2011,5,0.36
Baron Fork River: Welling Road,2005-01-21,95.0,7.5,0.52,,0.03,0.02,10.0,2005,1,0.58
Baron Fork River: Welling Road,2005-02-17,105.0,7.5,0.9,,0.03,0.013,10.0,2005,2,0.96
Baron Fork River: Welling Road,2005-03-17,105.0,7.0,1.0,,0.03,0.027,10.0,2005,3,1.06
Baron Fork River: Welling Road,2005-04-21,103.0,7.5,0.9,,0.03,0.08,10.0,2005,4,0.96
Baron Fork River: Welling Road,2005-05-19,47.0,7.5,0.5,,0.03,0.007,10.0,2005,5,0.56
Baron Fork River: Welling Road,2005-06-16,85.0,7.0,0.44,,0.03,0.06,10.0,2005,6,0.5
Baron Fork River: Welling Road,2005-07-21,90.0,7.5,0.06,,0.03,0.02,10.0,2005,7,0.12
Baron Fork River: Welling Road,2005-08-17,65.0,7.5,1.0,0.03,0.03,0.027,10.0,2005,8,1.06
Baron Fork River: Welling Road,2005-09-15,50.0,7.5,,0.15,0.03,0.013,10.0,2005,9,0.48
Baron Fork River: Welling Road,2005-10-20,80.0,7.5,0.3,0.15,0.03,0.027,10.0,2005,10,0.48
Baron Fork River: Welling Road,2005-11-17,95.0,7.5,1.5,0.15,0.03,0.073,10.0,2005,11,1.68
Baron Fork River: Welling Road,2005-12-15,95.0,7.5,1.0,0.15,0.03,0.013,10.0,2005,12,1.18
Baron Fork River: Welling Road,2006-01-18,95.0,7.5,0.5,0.03,0.03,0.033,10.0,2006,1,0.56
Baron Fork River: Welling Road,2006-02-16,95.0,7.5,1.0,0.1,0.03,0.007,5.0,2006,2,1.13
Baron Fork River: Welling Road,2006-03-16,95.0,7.5,1.2,0.07,0.1,0.007,10.0,2006,3,1.37
Baron Fork River: Welling Road,2006-04-20,65.0,7.5,1.0,0.08,0.1,0.02,10.0,2006,4,1.18
Baron Fork River: Welling Road,2006-05-18,80.0,7.5,1.0,0.08,0.1,0.007,10.0,2006,5,1.18
Baron Fork River: Welling Road,2006-06-15,75.0,7.5,2.0,0.08,0.1,0.007,5.0,2006,6,2.18
Baron Fork River: Welling Road,2006-07-20,73.0,7.5,1.0,0.08,0.1,0.033,10.0,2006,7,1.18
Baron Fork River: Welling Road,2006-08-17,80.0,7.5,1.0,0.08,0.1,0.007,10.0,2006,8,1.18
Baron Fork River: Welling Road,2006-09-17,74.0,7.5,1.0,0.08,0.1,0.047,10.0,2006,9,1.18
Baron Fork River: Welling Road,2006-10-19,95.0,7.5,1.0,0.08,0.1,0.04,10.0,2006,10,1.18
Baron Fork River: Welling Road,2006-11-16,105.0,7.5,2.0,0.15,0.1,0.013,15.0,2006,11,2.25
Baron Fork River: Welling Road,2006-12-18,100.0,7.5,2.0,0.1,0.1,0.007,15.0,2006,12,2.2
Baron Fork River: Welling Road,2007-01-19,107.0,7.5,2.0,0.15,0.1,0.02,15.0,2007,1,2.25
Baron Fork River: Welling Road,2007-02-16,104.0,,2.0,0.15,0.1,0.007,15.0,2007,2,2.25
Baron Fork River: Welling Road,2007-03-15,95.0,7.5,2.0,0.15,0.1,0.007,,2007,3,2.25
Baron Fork River: Welling Road,2007-04-19,96.0,7.5,3.0,2.0,0.1,0.02,10.0,2007,4,5.1
Baron Fork River: Welling Road,2007-05-17,110.0,7.5,1.0,0.08,0.1,0.007,15.0,2007,5,1.18
Baron Fork River: Welling Road,2007-06-22,104.0,7.5,1.0,0.08,0.1,0.02,10.0,2007,6,1.18
Baron Fork River: Welling Road,2007-07-19,110.0,7.5,1.0,0.08,0.1,0.013,10.0,2007,7,1.18
Baron Fork River: Welling Road,2007-08-16,74.0,7.5,0.5,0.08,0.1,0.007,10.0,2007,8,0.68
Baron Fork River: Welling Road,2007-09-22,115.0,7.5,1.5,0.08,0.1,0.013,10.0,2007,9,1.68
Baron Fork River: Welling Road,2007-10-22,90.0,7.5,1.0,0.08,0.1,0.033,10.0,2007,10,1.18
Baron Fork River: Welling Road,2007-11-15,98.0,7.5,1.2,0.15,0.1,0.027,15.0,2007,11,1.45
Baron Fork River: Welling Road,2007-12-21,99.0,7.5,2.0,0.3,,0.02,10.0,2007,12,2.33
Baron Fork River: Welling Road,2008-01-17,95.0,7.5,1.5,0.08,0.1,0.013,15.0,2008,1,1.68
Baron Fork River: Welling Road,2008-02-20,91.0,7.5,0.5,1.75,0.1,0.02,10.0,2008,2,2.35
Baron Fork River: Welling Road,2008-03-22,100.0,7.0,2.2,0.7,0.1,0.047,10.0,2008,3,3.0
Baron Fork River: Welling Road,2008-04-17,97.0,7.5,2.0,0.15,0.1,0.027,10.0,2008,4,2.25
Baron Fork River: Welling Road,2008-05-15,100.0,7.5,3.0,0.15,0.1,0.007,10.0,2008,5,3.25
Baron Fork River: Welling Road,2008-06-19,105.0,7.5,1.0,0.08,0.1,0.013,10.0,2008,6,1.18
Baron Fork River: Welling Road,2008-07-18,95.0,7.5,1.0,0.08,0.1,0.033,10.0,2008,7,1.18
Baron Fork River: Welling Road,2008-08-21,95.0,7.5,1.0,0.08,0.1,0.033,15.0,2008,8,1.18
Baron Fork River: Welling Road,2008-09-20,93.0,7.5,1.0,0.08,0.1,0.02,10.0,2008,9,1.18
Baron Fork River: Welling Road,2008-10-17,96.0,7.5,1.0,0.15,0.1,0.007,10.0,2008,10,1.25
Baron Fork River: Welling Road,2008-11-20,95.0,7.5,1.0,0.5,0.1,0.013,15.0,2008,11,1.6
Baron Fork River: Welling Road,2008-12-18,95.0,7.5,1.5,0.15,0.1,0.013,10.0,2008,12,1.75
Baron Fork River: Welling Road,2009-01-15,93.0,7.5,1.3,0.15,0.1,0.007,10.0,2009,1,1.55
Baron Fork River: Welling Road,2009-02-19,89.0,7.5,2.0,0.15,0.1,0.007,10.0,2009,2,2.25
Baron Fork River: Welling Road,2009-03-17,94.0,7.5,2.0,0.15,0.1,0.007,10.0,2009,3,2.25
Baron Fork River: Welling Road,2009-03-19,92.0,7.5,1.8,0.15,0.1,0.007,10.0,2009,3,2.05
Baron Fork River: Welling Road,2009-04-16,95.0,7.5,2.0,0.15,0.1,0.007,10.0,2009,4,2.25
Baron Fork River: Welling Road,2009-05-21,105.0,7.5,,,,,10.0,2009,5,0.36
Baron Fork River: Welling Road,2009-06-25,96.0,7.5,1.0,,0.1,0.033333333,10.0,2009,6,1.13
Baron Fork River: Welling Road,2009-07-16,,7.5,1.5,0.08,0.1,0.02,,2009,7,1.68
Baron Fork River: Welling Road,2009-08-22,,8.0,1.5,,0.1,0.053333333,15.0,2009,8,1.63
Baron Fork River: Welling Road,2009-09-27,89.0,7.5,2.0,,0.1,0.007,10.0,2009,9,2.13
Baron Fork River: Welling Road,2009-10-18,69.0,7.5,2.0,,0.1,0.001333333,10.0,2009,10,2.13
Baron Fork River: Welling Road,2009-11-19,81.0,7.5,2.4,0.3,0.1,0.007,10.0,2009,11,2.8
Baron Fork River: Welling Road,2009-12-17,95.0,7.5,2.0,,0.1,0.007,10.0,2009,12,2.13
Baron Fork River: Welling Road,2010-01-21,91.0,7.5,2.0,,0.1,0.00018,10.0,2010,1,2.13
Baron Fork River: Welling Road,2010-02-18,90.0,,2.0,,0.1,0.007,,2010,2,2.13
Baron Fork River: Welling Road,2010-04-15,90.0,7.5,2.0,0.15,0.1,0.002,10.0,2010,4,2.25
Baron Fork River: Welling Road,2010-05-22,96.0,7.5,3.0,0.3,0.1,0.046666667,10.0,2010,5,3.4
Baron Fork River: Welling Road,2010-06-17,81.0,7.5,2.2,0.15,0.1,0.033333333,10.0,2010,6,2.45
Baron Fork River: Welling Road,2010-07-15,88.0,7.5,2.0,0.3,0.1,0.000313333,10.0,2010,7,2.4
Baron Fork River: Welling Road,2010-08-21,93.0,7.5,1.0,,0.1,0.007,10.0,2010,8,1.13
Baron Fork River: Welling Road,2010-08-21,90.0,7.5,0.5,0.5,0.1,0.003333333,15.0,2010,8,1.1
Baron Fork River: Welling Road,2010-09-18,130.0,7.0,2.0,,0.1,0.066666667,15.0,2010,9,2.13
Baron Fork River: Welling Road,2010-11-23,96.0,7.5,1.0,,0.1,0.007,15.0,2010,11,1.13
Baron Fork River: Welling Road,2010-12-16,86.0,7.5,2.5,0.08,0.1,0.007,10.0,2010,12,2.68
Baron Fork River: Welling Road,2011-05-28,85.0,,5.0,1.5,0.1,0.006666667,10.0,2011,5,6.6
Baron Fork River: Welling Road,2011-06-16,81.0,7.5,8.0,,0.1,0.02,10.0,2011,6,8.13
Baron Fork River: Welling Road,2011-07-21,75.0,7.5,5.0,,0.1,0.02,10.0,2011,7,5.13
Baron Fork River: Welling Road,2011-08-08,75.0,7.5,5.0,,0.1,0.0022,10.0,2011,8,5.13
Baron Fork River: Welling Road,2011-10-02,84.0,7.5,5.0,,0.1,0.007,10.0,2011,10,5.13
Baron Fork River: Welling Road,2011-11-03,80.0,7.5,,,0.1,0.001333333,10.0,2011,11,0.43
Baron Fork River: Welling Road,2011-11-17,84.0,7.5,3.0,,0.1,0.007,10.0,2011,11,3.13
Baron Fork River: Welling Road,2011-12-12,96.0,7.5,4.0,,0.1,0.026666667,10.0,2011,12,4.13
Baron Fork River: Welling Road,2012-02-16,86.0,7.5,,,0.1,0.02,,2012,2,0.43
Baron Fork River: Welling Road,2012-03-15,90.0,6.5,,,0.1,0.033333333,10.0,2012,3,0.43
Baron Fork River: Welling Road,2012-04-19,91.0,7.5,2.0,,0.1,0.033333333,10.0,2012,4,2.13
Baron Fork River: Welling Road,2012-05-22,89.0,7.5,1.0,,0.1,0.013333333,10.0,2012,5,1.13
Baron Fork River: Welling Road,2012-06-23,74.0,7.5,1.2,,0.1,0.007,10.0,2012,6,1.33
Baron Fork River: Welling Road,2012-07-31,64.0,7.0,,,,,,2012,7,0.36
Baron Fork River: Welling Road,2012-08-10,48.0,7.7,,,0.1,0.007,10.0,2012,8,0.43
Baron Fork River: Welling Road,2012-09-20,70.0,7.5,,,0.1,0.026666667,10.0,2012,9,0.43
Baron Fork River: Welling Road,2012-10-25,79.0,7.5,1.0,,0.1,0.02,10.0,2012,10,1.13
Baron Fork River: Welling Road,2012-11-15,75.0,7.5,1.0,,0.1,0.007,15.0,2012,11,1.13
Baron Fork River: Welling Road,2013-01-26,85.0,7.5,2.0,,,0.013333333,10.0,2013,1,2.06
Baron Fork River: Welling Road,2013-03-22,85.0,7.7,2.0,0.15,0.1,0.006666667,15.0,2013,3,2.25
Baron Fork River: Welling Road,2013-04-17,81.0,7.5,4.0,,0.1,0.007,10.0,2013,4,4.13
Baron Fork River: Welling Road,2013-05-16,88.0,7.5,1.8,0.03,0.03,0.005,10.0,2013,5,1.86
Baron Fork River: Welling Road,2013-06-19,79.0,7.5,2.0,0.03,0.03,0.033,10.0,2013,6,2.06
Baron Fork River: Welling Road,2013-09-13,60.0,7.5,1.0,0.03,0.03,0.005,10.0,2013,9,1.06
Baron Fork River: Welling Road,2013-10-17,75.0,7.5,2.0,0.03,0.03,0.02,15.0,2013,10,2.06
Baron Fork River: Welling Road,2013-11-21,69.0,7.5,1.0,,0.1,0.007,10.0,2013,11,1.13
Baron Fork River: Welling Road,2013-12-20,73.0,7.5,2.0,0.03,0.03,0.005,10.0,2013,12,2.06
Baron Fork River: Welling Road,2014-01-30,75.0,7.7,2.0,0.03,0.03,0.013,10.0,2014,1,2.06
Baron Fork River: Welling Road,2014-02-25,75.0,7.5,1.0,0.03,,0.1,10.0,2014,2,1.06
Baron Fork River: Welling Road,2014-03-20,75.0,7.5,1.0,0.03,0.03,0.007,10.0,2014,3,1.06
Baron Fork River: Welling Road,2014-04-01,75.0,7.5,1.0,0.03,0.03,0.005,10.0,2014,4,1.06
Baron Fork River: Welling Road,2014-06-05,77.0,7.5,0.3,0.03,0.03,0.027,10.0,2014,6,0.36
Baron Fork River: Welling Road,2014-06-19,81.0,7.5,0.5,0.03,0.03,0.02,10.0,2014,6,0.56
Baron Fork River: Welling Road,2014-09-18,70.0,7.5,,,0.03,0.005,10.0,2014,9,0.36
Baron Fork River: Welling Road,2014-10-16,85.0,7.5,1.5,0.03,0.03,0.033,10.0,2014,10,1.56
Baron Fork River: Welling Road,2014-11-20,80.0,7.5,1.5,0.03,0.03,0.005,10.0,2014,11,1.56
Baron Fork River: Welling Road,2014-12-18,96.0,7.5,1.5,0.03,0.03,0.005,10.0,2014,12,1.56
Baron Fork River: Welling Road,2015-01-16,78.0,7.5,3.0,0.03,0.03,0.005,10.0,2015,1,3.06
Baron Fork River: Welling Road,2015-02-26,86.0,7.5,,,0.03,0.005,10.0,2015,2,0.36
Baron Fork River: Welling Road,2015-03-19,88.0,,,,,,10.0,2015,3,0.36
Baron Fork River: Welling Road,2015-04-17,80.0,7.5,,,0.03,0.005,10.0,2015,4,0.36
Baron Fork River: Welling Road,2015-05-21,91.0,,1.8,0.03,0.03,0.005,10.0,2015,5,1.86
Baron Fork River: Welling Road,2015-07-27,100.0,7.5,1.0,0.03,0.03,0.033,10.0,2015,7,1.06
Baron Fork River: Welling Road,2015-09-05,71.0,7.5,2.0,0.03,0.03,0.233,10.0,2015,9,2.06
Baron Fork River: Welling Road,2015-09-16,84.0,7.5,1.0,0.03,0.03,,,2015,9,1.06
Baron Fork River: Welling Road,2015-10-13,66.0,7.5,1.0,0.03,0.03,0.005,10.0,2015,10,1.06
Baron Fork River: Welling Road,2015-11-25,74.0,7.5,1.0,0.03,0.03,0.007,10.0,2015,11,1.06
Baron Fork River: Welling Road,2015-12-21,74.0,7.5,2.0,0.03,0.03,0.033,10.0,2015,12,2.06
Baron Fork River: Welling Road,2016-01-21,91.0,7.5,2.0,0.03,0.03,0.013,10.0,2016,1,2.06
Baron Fork River: Welling Road,2016-02-18,95.0,7.5,1.5,0.03,0.03,0.005,10.0,2016,2,1.56
Baron Fork River: Welling Road,2016-03-17,85.0,7.5,2.0,0.03,0.03,0.005,10.0,2016,3,2.06
Baron Fork River: Welling Road,2016-04-21,80.0,7.5,3.0,0.03,0.03,0.005,10.0,2016,4,3.06
Baron Fork River: Welling Road,2016-05-19,91.0,7.5,3.0,0.03,0.03,0.005,10.0,2016,5,3.06
Baron Fork River: Welling Road,2016-06-27,86.0,7.5,,,0.03,0.033,10.0,2016,6,0.36
Baron Fork River: Welling Road,2016-07-25,65.0,7.5,0.3,0.03,0.03,0.04,10.0,2016,7,0.36
Baron Fork River: Welling Road,2016-08-29,75.0,,0.3,0.03,0.03,0.027,10.0,2016,8,0.36
Baron Fork River: Welling Road,2016-09-22,71.0,7.5,0.3,0.03,0.03,0.033,10.0,2016,9,0.36
Baron Fork River: Welling Road,2016-10-13,76.0,8.0,0.3,0.03,0.03,0.005,10.0,2016,10,0.36
Baron Fork River: Welling Road,2016-11-17,80.0,7.25,0.3,0.03,0.03,0.005,10.0,2016,11,0.36
Baron Fork River: Welling Road,2016-12-15,78.0,7.5,0.3,0.03,0.03,0.005,10.0,2016,12,0.36
Baron Fork River: Welling Road,2017-01-19,71.0,7.5,0.3,0.03,0.03,0.005,10.0,2017,1,0.36
Baron Fork River: Welling Road,2017-02-16,77.0,7.5,0.3,0.03,0.03,0.005,10.0,2017,2,0.36
Baron Fork River: Welling Road,2017-03-23,76.0,7.5,0.3,0.15,0.03,0.02,10.0,2017,3,0.48
Baron Fork River: Welling Road,2017-04-20,75.0,7.5,0.5,0.03,0.03,0.005,10.0,2017,4,0.56
Baron Fork River: Welling Road,2017-05-28,79.0,7.5,1.5,0.03,0.03,0.005,10.0,2017,5,1.56
