Task,SiteName,WBID,IR_WBID,Latitude,Longitude,COMID,Date,Year,Cycle,PCID,County,Basin,RiverBasin,HUC_8,HUC_12,L4_Ecoregion,L3_Ecoregion,Mod_Ecoregion,StreamOrder,Watershed_Area,F.WP,WQ.Score,WQ.Grade,Bug.Score,Bug.Grade,Fish.Score,Fish.Grade,Habitat.Score,Habitat.Grade,Overall.Score,Letter.Grade
Blue Thumb,Beaty Creek:  Curry Cabin,OK121600-05-0160P,OK121600050160_00,36.41122222,-94.62563889,21770673,1/8/2003,2003,1,OK121600-05-0160P_1,Delaware,Neosho-Grand,Arkansas R.,11070209,1.10702E+11,Springfield Plateau,Ozark Highlands,Ozark Highlands,3,57.8241,CWAC,NA,,0.555815059,F,NA,,NA,,0.555815059,F
Blue Thumb,Beaver Creek: N 4370 Rd,OK220200-04-0060C,OK220200040060_00,35.1122,-95.24357,1545483,9/15/2018,2018,4,OK220200-04-0060C_4,Haskell,Arkansas-Canadian,Arkansas R.,11110104,1.11101E+11,Scattered High Ridges and Mountains,Arkansas Valley,Arkansas Valley,3,88.4412,WWAC,NA,,0.829620038,B,0.9259259,A,0.949114255,A,0.901553398,A
Blue Thumb,Big Cabin Creek: E 90 Road,OK121600-06-0300R,OK121600060300_10,36.888106,-95.169349,21769819,2/11/2012,2012,3,OK121600-06-0300R_3,Craig,Neosho-Grand,Arkansas R.,11070209,1.10702E+11,Osage Cuestas,Central Irregular Plains,Central Irregular Plains,2,98.2674,WWAC,NA,,0.502790928,F,NA,,NA,,0.502790928,F
Blue Thumb,Big Spring Trib of Bitter Creek:  Big Spring Picnic Area,OK620910-02-0170T,OK620910020370_00,35.93325,-98.44216667,252370,7/29/2004,2004,1,OK620910-02-0170T_1,Blaine,Cimarron-Upper Arkansas,Cimarron R.,11050002,1.105E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,NA,WWAC,NA,,0.458103157,F,NA,,0.915489294,A,0.686796226,D
Blue Thumb,Big Spring Trib of Bitter Creek:  Big Spring Picnic Area,OK620910-02-0170T,OK620910020370_00,35.93325,-98.44216667,252330,7/29/2004,2004,1,OK620910-02-0170T_1,Blaine,Cimarron-Upper Arkansas,Cimarron R.,11050002,1.105E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,NA,WWAC,NA,,0.458103157,F,NA,,0.915489294,A,0.686796226,D
Blue Thumb,Big Spring Trib of Bitter Creek:  Big Spring Picnic Area,OK620910-02-0170T,OK620910020370_00,35.93325,-98.44216667,252370,1/18/2006,2006,2,OK620910-02-0170T_2,Blaine,Cimarron-Upper Arkansas,Cimarron R.,11050002,1.105E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,NA,WWAC,NA,,0.430938349,F,NA,,NA,,0.430938349,F
Blue Thumb,Big Spring Trib of Bitter Creek:  Big Spring Picnic Area,OK620910-02-0170T,OK620910020370_00,35.93325,-98.44216667,252330,1/18/2006,2006,2,OK620910-02-0170T_2,Blaine,Cimarron-Upper Arkansas,Cimarron R.,11050002,1.105E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,NA,WWAC,NA,,0.430938349,F,NA,,NA,,0.430938349,F
Blue Thumb,Bird Creek: Rustic Lounge,OK121300-02-0010B,OK121300020010_10,36.293267,-95.960829,847288,2/10/2017,2017,4,OK121300-02-0010B_4,Tulsa,Neosho-Grand,Arkansas R.,11070107,1.10701E+11,Osage Cuestas,Central Irregular Plains,Central Irregular Plains,4,1275.6555,WWAC,NA,,0.79388677,C,NA,,NA,,0.79388677,C
Blue Thumb,Bird Creek: Walnut St.,OK620910-04-0020C,OK620910040020_00,35.887277,-97.416415,253812,3/14/2011,2011,3,OK620910-04-0020C_3,Logan,Cimarron-Upper Arkansas,Cimarron R.,11050002,1.105E+11,Prairie Tableland,Central Great Plains,Central Great Plains,2,16.8093,WWAC,NA,,0.465197644,F,NA,,NA,,0.465197644,F
Blue Thumb,Bishop Creek Tributary: Basket 12,OK520610-01-0181M,OK520610010181_00,35.20769,-97.41724,6025982,6/8/2018,2018,4,OK520610-01-0181M_4,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,37.197,WWAC,NA,,0.756722139,C,0.3127793,F,0.853183021,B,0.64089482,D
Blue Thumb,Bishop Creek:  Constitution & Hwy 9,OK520610-01-0180D,OK520610010180_00,35.18047222,-97.43127778,6025982,1/23/2006,2006,2,OK520610-01-0180D_2,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,37.197,WWAC,NA,,0.561703269,F,NA,,NA,,0.561703269,F
Blue Thumb,Bishop Creek:  Constitution & Hwy 9,OK520610-01-0180D,OK520610010180_00,35.18047222,-97.43127778,6025982,2/7/2003,2003,1,OK520610-01-0180D_1,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,37.197,WWAC,NA,,0.196514983,F,NA,,NA,,0.196514983,F
Blue Thumb,Bishop Creek:  Constitution Street,OK520610-01-0180P,OK520610010180_00,35.18958,-97.42893,6025982,9/9/2014,2014,3,OK520610-01-0180P_3,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,37.197,WWAC,NA,,0.488282721,F,0.4915103,F,0.902920276,A,0.627571099,D
Blue Thumb,Bishop Creek:  Constitution Street,OK520610-01-0180P,OK520610010180_00,35.18958,-97.42893,6025982,6/12/2018,2018,4,OK520610-01-0180P_4,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,37.197,WWAC,NA,,0.656236398,D,0.5808758,F,0.722534809,C,0.653215669,D
Blue Thumb,Bishop Creek:  Constitution Street,OK520610-01-0180P,OK520610010180_00,35.18957778,-97.42893333,6025982,8/25/2009,2009,2,OK520610-01-0180P_2,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,37.197,WWAC,NA,,0.363689924,F,0.6702413,D,0.905346492,A,0.646425905,D
Blue Thumb,Bishop Creek:  Constitution Street,OK520610-01-0180P,OK520610010180_00,35.18957778,-97.42893333,6025982,8/10/2005,2005,1,OK520610-01-0180P_1,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,37.197,WWAC,NA,,NA,,0.759606792,C,0.754187711,C,0.756897252,C
Blue Thumb,Bishop Creek:  Constitution Street,OK520610-01-0180P,OK520610010180_00,35.18957778,-97.42893333,6025982,3/5/2021,2021,5,OK520610-01-0180P_5,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,37.197,WWAC,NA,,0.768684335,C,NA,,NA,,0.768684335,C
Blue Thumb,Bishop Creek: Eastwoods Park,OK520610-01-0180W,OK520610010180_00,35.21316,-97.43333,6025924,6/29/2012,2012,3,OK520610-01-0180W_3,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,4.6629,WWAC,NA,,0.51138599,F,0.4021448,F,0.778412388,C,0.563981059,F
Blue Thumb,Bishop Creek: Eastwoods Park,OK520610-01-0180W,OK520610010180_00,35.21316,-97.43333,6025924,6/18/2018,2018,4,OK520610-01-0180W_4,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,4.6629,WWAC,NA,,0.578055196,F,0.4915103,F,0.771925146,C,0.613830214,D
Blue Thumb,Bishop Creek: Eastwoods Park,OK520610-01-0180W,OK520610010180_00,35.21316,-97.43333,6025924,1/23/2021,2021,5,OK520610-01-0180W_5,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,4.6629,WWAC,NA,,0.417208121,F,NA,,NA,,0.417208121,F
Blue Thumb,Bishop Creek: Lindsey Street,OK520610-01-0180R,OK520610010180_00,35.20375,-97.43582,6025982,7/26/2011,2011,3,OK520610-01-0180R_3,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,37.197,WWAC,NA,,0.141804119,F,0.4915103,F,0.867493126,B,0.500269182,F
Blue Thumb,Bixby Creek:  Riverview,OK120420-01-0015P,OK120420010010_00,35.932747,-95.876903,370761,8/23/2010,2010,2,OK120420-01-0015P_2,Tulsa,Arkansas-Canadian,Arkansas R.,11110101,1.11101E+11,Osage Cuestas,Central Irregular Plains,Central Irregular Plains,1,11.6289,WWAC,NA,,0.505915222,F,0.7264957,C,0.748,C,0.660136974,D
Blue Thumb,Black Bear Creek: Railroad Yard,OK621200-03-0010F,OK621200030010_00,36.342272,-96.80223,20972346,3/13/2018,2018,4,OK621200-03-0010F_4,Pawnee,Cimarron-Upper Arkansas,Arkansas R.,11060006,1.106E+11,Prairie Tableland,Central Great Plains,Central Great Plains,4,1359.2754,WWAC,NA,,0.515931545,F,NA,,NA,,0.515931545,F
Blue Thumb,Black Fork of Poteau River:  CR D1513,OK220100-02-0040D,OK220100020040_00,34.8245166,-94.62565,6048362,9/30/2005,2005,1,OK220100-02-0040D_1,LeFlore,Arkansas-Canadian,Arkansas R.,11110105,1.11101E+11,Athens Plateau,Boston Mountains,Arkansas Valley,5,500.4981,WWAC,NA,,0.729287984,C,0.5555556,F,1,A,0.761614528,C
Blue Thumb,Black Fork of Poteau River:  CR D1513,OK220100-02-0040D,OK220100020040_00,34.8245166,-94.62565,6048362,9/15/2017,2017,4,OK220100-02-0040D_4,LeFlore,Arkansas-Canadian,Arkansas R.,11110105,1.11101E+11,Athens Plateau,Boston Mountains,Arkansas Valley,5,500.4981,WWAC,NA,,0.496554685,F,NA,,NA,,0.496554685,F
Blue Thumb,Black Fork of Poteau River:  CR D1513,OK220100-02-0040D,OK220100020040_00,34.8245166,-94.62565,6048362,8/23/2006,2006,2,OK220100-02-0040D_2,LeFlore,Arkansas-Canadian,Arkansas R.,11110105,1.11101E+11,Athens Plateau,Boston Mountains,Arkansas Valley,5,500.4981,WWAC,NA,,0.735001845,C,0.777777778,C,1,A,0.837593208,B
Blue Thumb,Black Fork of Poteau River:  CR D1513,OK220100-02-0040D,OK220100020040_00,34.8245166,-94.62565,6048362,3/9/2011,2011,3,OK220100-02-0040D_3,LeFlore,Arkansas-Canadian,Arkansas R.,11110105,1.11101E+11,Athens Plateau,Boston Mountains,Arkansas Valley,5,500.4981,WWAC,NA,,0.775446595,C,NA,,NA,,0.775446595,C
Blue Thumb,Black Fox Creek:  Illinois Confluence,OK121700-03-0080P,OK121700030080_00,36.11716667,-94.80933333,398328,2/1/2003,2003,NA,NA,Cherokee,NA,Illinois R.,11110103,NA,Dissected Springfield Plateau-Elk River Hills,Ozark Highlands,NA,3,41.3847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue Thumb,Blackboy Creek:  Limestone Crossing (aka Bigheart Creek),OK120420-01-0140T,OK120420010140_00,36.1726111,-96.0825833,368581,6/21/2010,2010,2,OK120420-01-0140T_2,Osage,Arkansas-Canadian,Arkansas R.,11110101,1.11101E+11,Western Cross Timbers,Cross Timbers,Cross Timbers,2,4.329,WWAC,NA,,0.682734625,D,0.351648348,F,0.910525468,A,0.648302814,D
Blue Thumb,Blackboy Creek:  Limestone Crossing (aka Bigheart Creek),OK120420-01-0140T,OK120420010140_00,36.1726111,-96.0825833,368581,6/21/2010,2006,2,OK120420-01-0140T_2,Osage,Arkansas-Canadian,Arkansas R.,11110101,1.11101E+11,Western Cross Timbers,Cross Timbers,Cross Timbers,2,4.329,WWAC,NA,,0.682734625,D,0.351648348,F,0.910525468,A,0.648302814,D
Blue Thumb,Blackboy Creek:  Limestone Crossing (aka Bigheart Creek),OK120420-01-0140T,OK120420010140_00,36.1726111,-96.0825833,368581,1/9/2004,2004,1,OK120420-01-0140T_1,Osage,Arkansas-Canadian,Arkansas R.,11110101,1.11101E+11,Western Cross Timbers,Cross Timbers,Cross Timbers,2,4.329,WWAC,NA,,1.01829,A,NA,,NA,,1.01829,A
Blue Thumb,Blue Beaver Creek:  Pecan Road,OK311310-02-0050T,OK311310020050_00,34.5361666,-98.5655277,572876,7/21/2003,2003,1,OK311310-02-0050T_1,Comanche,Washita-Red,Upper Red R.,11130203,1.11302E+11,Prairie Tableland,Central Great Plains,Central Great Plains,3,132.8013,WWAC,NA,,0.90746997,A,NA,,NA,,0.90746997,A
Blue Thumb,Bluff Creek:  Battiest,OK410210-09-0160K,OK410210090160_00,34.44914,-94.94017,616330,8/8/2016,2016,3,OK410210-09-0160K_3,McCurtain,L Red,Little R.,11140107,1.11401E+11,Athens Plateau,Ouachita Mountains,Ouachita Mountains,1,18.0963,CWAC,NA,,1.0385376,A,0.75,C,0.709909563,C,0.832815721,B
Blue Thumb,Bluff Creek:  Battiest,OK410210-09-0160K,OK410210090160_00,34.4491388,-94.9401666,616330,6/11/2007,2007,2,OK410210-09-0160K_2,McCurtain,L Red,Little R.,11140107,1.11401E+11,Athens Plateau,Ouachita Mountains,Ouachita Mountains,1,18.0963,CWAC,NA,,0.945176983,A,0.7857143,C,1,A,0.910297094,A
Blue Thumb,Bluff Creek:  Battiest,OK410210-09-0160K,OK410210090160_00,34.4491388,-94.9401666,616330,6/11/2007,2011,2,OK410210-09-0160K_2,McCurtain,L Red,Little R.,11140107,1.11401E+11,Athens Plateau,Ouachita Mountains,Ouachita Mountains,1,18.0963,CWAC,NA,,0.945176983,A,0.7857143,C,1,A,0.910297094,A
Blue Thumb,Bluff Creek:  NW 150th,OK620910-04-0140G,OK620910040140_00,35.62381,-97.6,254786,9/8/2014,2014,3,OK620910-04-0140G_3,Oklahoma,Cimarron-Upper Arkansas,Cimarron R.,11050002,1.105E+11,Prairie Tableland,Central Great Plains,Central Great Plains,3,34710.53,WWAC,NA,,0.867267206,B,1.027703,A,0.921017524,A,0.938662577,A
Blue Thumb,Bluff Creek:  NW 150th,OK620910-04-0140G,OK620910040140_00,35.62380556,-97.6,254786,9/17/2004,2004,1,OK620910-04-0140G_1,Oklahoma,Cimarron-Upper Arkansas,Cimarron R.,11050002,1.105E+11,Prairie Tableland,Central Great Plains,Central Great Plains,3,34710.53,WWAC,NA,,0.618201019,D,1.027703307,A,0.825701859,B,0.823868728,B
Blue Thumb,Bluff Creek:  NW 150th,OK620910-04-0140G,OK620910040140_00,35.62380556,-97.6,254786,8/26/2009,2009,2,OK620910-04-0140G_2,Oklahoma,Cimarron-Upper Arkansas,Cimarron R.,11050002,1.105E+11,Prairie Tableland,Central Great Plains,Central Great Plains,3,34710.53,WWAC,NA,,0.598349042,D,1.117068811,A,0.856206669,B,0.857208174,B
Blue Thumb,Bluff Creek:  NW 150th,OK620910-04-0140G,OK620910040140_00,35.62380556,-97.6,254786,3/3/2017,2017,4,OK620910-04-0140G_4,Oklahoma,Cimarron-Upper Arkansas,Cimarron R.,11050002,1.105E+11,Prairie Tableland,Central Great Plains,Central Great Plains,3,34710.53,WWAC,NA,,1.210123399,A,NA,,NA,,1.210123399,A
Blue Thumb,Boiling Springs Creek:  Scout Trail Bridge,OK720500-01-0240K,OK720500010240_00,36.45772222,-99.29869444,388780,1/16/2003,2003,1,OK720500-01-0240K_1,Woodward,Cimarron-Upper Arkansas,Canadian R.,11100301,1.11003E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,8.7372,WWAC,NA,,0.76594961,C,NA,,NA,,0.76594961,C
Blue Thumb,Boomer Creek @ 3rd Ave.,OK620900-04-0180B,OK620900040180_00,36.1191,-97.0518,492060,2/5/2021,2021,5,OK620900-04-0180B_5,Payne,Cimarron-Upper Arkansas,Cimarron R.,11050003,1.105E+11,Prairie Tableland,Central Great Plains,Cross Timbers,2,30.6198,WWAC,NA,,0.554193099,F,NA,,NA,,0.554193099,F
Blue Thumb,Boomer Creek @ 3rd Ave.,OK620900-04-0180B,OK620900040180_00,36.1191,-97.0518,492060,9/12/2019,2019,4,OK620900-04-0180B_4,Payne,Cimarron-Upper Arkansas,Cimarron R.,11050003,1.105E+11,Prairie Tableland,Central Great Plains,Cross Timbers,2,30.6198,WWAC,NA,,0.533856636,F,0.6593407,D,0.663832748,D,0.619010028,D
Blue Thumb,Boomer Creek @ 3rd Ave.,OK620900-04-0180B,OK620900040180_00,36.1191,-97.0518,492060,8/12/2013,2013,3,OK620900-04-0180B_3,Payne,Cimarron-Upper Arkansas,Cimarron R.,11050003,1.105E+11,Prairie Tableland,Central Great Plains,Cross Timbers,2,30.6198,WWAC,NA,,0.430694572,F,NA,,NA,,0.430694572,F
Blue Thumb,Boomer Creek @ S. Perkins Rd,OK620900-04-0140X,OK620900040140_00,36.11224,-97.0515,492148,7/15/2014,2014,3,OK620900-04-0140X_3,Payne,Cimarron-Upper Arkansas,Cimarron R.,11050003,1.105E+11,Prairie Tableland,Central Great Plains,Cross Timbers,2,43.578,WWAC,NA,,0.521033398,F,0.5714286,F,0.963870324,A,0.685444107,D
Blue Thumb,Boomer Creek @ S. Perkins Rd,OK620900-04-0140X,OK620900040140_00,36.11224,-97.0515,492148,8/5/2019,2019,4,OK620900-04-0140X_4,Payne,Cimarron-Upper Arkansas,Cimarron R.,11050003,1.105E+11,Prairie Tableland,Central Great Plains,Cross Timbers,2,43.578,WWAC,NA,,0.499458223,F,0.8351648,B,0.779557033,C,0.704726685,C
Blue Thumb,Boomer Creek:  McElroy,OK620900-04-0180G,OK620900040180_00,36.1302777,-97.0558611,492036,8/18/2005,2005,1,OK620900-04-0180G_1,Payne,Cimarron-Upper Arkansas,Cimarron R.,11050003,1.105E+11,Prairie Tableland,Central Great Plains,Cross Timbers,2,28.1943,WWAC,NA,,0.452041926,F,0.483516484,F,0.687847385,D,0.541135265,F
Blue Thumb,Brookhaven Creek:  North of Main,OK520610-01-0205V,OK520610010205_00,35.219267,-97.502944,6026188,8/16/2010,2010,2,OK520610-01-0205V_2,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,22.2966,WWAC,NA,,NA,,0.4915103,F,0.941951821,A,0.716731061,C
Blue Thumb,Brookhaven Creek:  North of Main,OK520610-01-0205V,OK520610010205_00,35.21927,-97.50294,6026188,7/18/2018,2018,4,OK520610-01-0205V_4,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,22.2966,WWAC,NA,,0.711085807,C,0.5808758,F,0.892938207,B,0.728299938,C
Blue Thumb,Brookhaven Creek:  North of Main,OK520610-01-0205V,OK520610010205_00,35.219267,-97.502944,6026188,1/23/2021,2021,5,OK520610-01-0205V_5,Cleveland,U Canadian,Canadian R.,11090202,1.10902E+11,Prairie Tableland,Central Great Plains,Central Great Plains,1,22.2966,WWAC,NA,,0.82665594,B,NA,,NA,,0.82665594,B
Blue Thumb,Brush Creek,OK121600-05-0140J,OK121600050140_00,36.4054,-94.7956,21770691,1/17/2017,2016,4,OK121600-05-0140J_4,Delaware,Neosho-Grand,Arkansas R.,11070209,1.10702E+11,Springfield Plateau,Ozark Highlands,Ouachita Mountains,2,71.1126,CWAC,0.875,B,0.659198953,D,0.8613009,B,1,A,0.848874963,B
Blue Thumb,Brush Creek,OK121600-05-0140J,OK121600050140_00,36.4054,-94.7956,21770691,2/4/2021,2021,5,OK121600-05-0140J_5,Delaware,Neosho-Grand,Arkansas R.,11070209,1.10702E+11,Springfield Plateau,Ozark Highlands,Ouachita Mountains,2,71.1126,CWAC,NA,,0.759690756,C,NA,,NA,,0.759690756,C
Blue Thumb,Brush Creek,OK121600-05-0140J,OK121600050140_00,36.4054,-94.7956,21770691,6/1/2021,2021,5,OK121600-05-0140J_5,Delaware,Neosho-Grand,Arkansas R.,11070209,1.10702E+11,Dissected Springfield Plateau-Elk River Hills,Ozark Highlands,Ozark Highlands,2,27.18190282,CWAC,0.961538462,A,0.787179487,C,0.861300861,B,0.893227507,B,3.503246317,A
Blue Thumb,Brush Creek,OK121600-05-0140J,OK121600050140_00,36.4054,-94.7956,21770691,6/1/2021,2021,5,OK121600-05-0140J_5,Delaware,Neosho-Grand,Arkansas R.,11070209,1.10702E+11,Dissected Springfield Plateau-Elk River Hills,Ozark Highlands,Ozark Highlands,2,27.18190282,CWAC,0.961538462,A,0.804952951,B,0.861300861,B,0.893227507,B,0.880254945,B
Blue Thumb,Brush Creek:  nr. Jay,OK121600-05-0140G,OK121600050140_00,36.3698,-94.8037,21770971,2/14/2001,2001,1,OK121600-05-0140G_1,Delaware,Neosho-Grand,Arkansas R.,11070209,1.10702E+11,Springfield Plateau,Ozark Highlands,Ozark Highlands,2,89.1153,CWAC,NA,,0.636529499,D,NA,,NA,,0.636529499,D
Blue Thumb,Buckhorn Creek:  Binderim Road,OK310800-02-0220D,OK310800020220_00,34.43369444,-96.94388889,19960384,9/20/2005,2005,1,OK310800-02-0220D_1,Murray,Washita-Red,Washita R.,11130303,1.11303E+11,Western Cross Timbers,Cross Timbers,Cross Timbers,1,7.6455,WWAC,NA,,0.8155821,B,0.8351648,B,0.915161969,A,0.855302956,B
