SiteName,WBID,County,Date,Time,Latitude,Longitude,Water.Temp,DO.Final.1,DO.Saturation,pH.Final.1,Nitrate.Final.1,Nitrite.Final.1,Ammonia.Final.1,OP.Final.1,Chloride.Final.1,Ecoli,Task,RiverBasin,HUC_8
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,3/31/2005,.,36.0958,-95.6724,13,8,78,7.5,0.09,.,0,0,20,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,4/28/2005,.,36.0958,-95.6724,16,6,63,7.7,0,.,0,0.007,30,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,5/31/2005,.,36.0958,-95.6724,23,3,37,7.5,0.08,.,0.2,0.033,25,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,6/28/2005,.,36.0958,-95.6724,26,1.6,20,7.5,0.02,.,0,0.053,20,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,7/21/2005,.,36.0958,-95.6724,26,2,27,7.5,0,0,0,0.1,15,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,8/30/2005,.,36.0958,-95.6724,25,4,55,7.5,1,0.15,0,0.1,10,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,9/22/2005,.,36.0958,-95.6724,24,2.4,35,7.5,0,0,0,0,15,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,10/27/2005,.,36.0958,-95.6724,9,1.8,16,7.4,0,0,0,0,15,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,11/17/2005,.,36.0958,-95.6724,4,0.6,3,7.5,0,0,0,0.3,30,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,12/20/2005,.,36.0958,-95.6724,.,.,.,.,.,.,.,.,.,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,1/24/2006,.,36.0958,-95.6724,.,.,.,.,.,.,.,.,.,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,3/1/2006,.,36.0958,-95.6724,.,.,.,.,.,.,.,.,.,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,4/7/2006,.,36.0958,-95.6724,6,10,80,8,0.5,0.08,0.1,0.007,160,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,4/26/2006,.,36.0958,-95.6724,15,7,71,7.3,0.5,0.08,0.2,0.06,30,.,Blue Thumb,Arkansas R.,11070105
Adams Creek: Oak Grove Road,OK121500-02-0150G,Wagoner,5/18/2006,.,36.0958,-95.6724,18,8,86,7.4,0.5,0.08,0.1,0.047,25,.,Blue Thumb,Arkansas R.,11070105
Ballard Creek: E 0660 (Oak Hill),OK121700-01-0370M,Adair,1/12/2005,.,36.06111667,-94.573,7,14,110,7.1,0.06,.,0,0.02,15,.,Blue Thumb,Illinois R.,11110103
Ballard Creek: Wainscott,OK121700-03-0370V,Adair,1/7/2011,.,36.014656,-94.548142,8,13,106,7.5,2,.,0.1,0.066666667,15,.,Blue Thumb,Illinois R.,11110103
Ballard Creek: Wainscott,OK121700-03-0370V,Adair,11/6/2011,.,36.014656,-94.548142,16,14,139,7.5,3,.,0.1,0.033333333,20,.,Blue Thumb,Illinois R.,11110103
Ballard Creek: Wainscott,OK121700-03-0370V,Adair,12/4/2011,.,36.014656,-94.548142,10,10,88,7.4,1,.,0.1,0.566666667,15,.,Blue Thumb,Illinois R.,11110103
Ballard Creek: Wainscott,OK121700-03-0370V,Adair,3/30/2012,.,36.014656,-94.548142,18,14,146,7.5,1,.,0.1,0.033333333,10,.,Blue Thumb,Illinois R.,11110103
Ballard Creek: Wainscott,OK121700-03-0370V,Adair,4/4/2012,.,36.014656,-94.548142,19,13,140,8,2,.,0.1,0.053333333,15,.,Blue Thumb,Illinois R.,11110103
Ballard Creek: Wainscott,OK121700-03-0370V,Adair,4/30/2012,.,36.014656,-94.548142,19,13,140,8,2,.,0.1,0.053333333,15,.,Blue Thumb,Illinois R.,11110103
Ballard Creek: Wainscott,OK121700-03-0370V,Adair,5/31/2012,.,36.014656,-94.548142,27,12,151,8.8,.,.,0.1,0.026666667,15,.,Blue Thumb,Illinois R.,11110103
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,2/3/2005,.,34.90841667,-95.29630556,5,10,79,7,0.02,.,0.3,0,10,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,3/7/2005,.,34.90841667,-95.29630556,15,10,102,7.5,0.02,.,0,0,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,4/5/2005,.,34.90841667,-95.29630556,16,8,85,7,0.002,.,0,0,10,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,5/3/2005,.,34.90841667,-95.29630556,14,6,60,7,0.6,.,0.2,0,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,6/6/2005,.,34.90841667,-95.29630556,23,0.6,.,7.5,0,.,5.1,0.166,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,7/16/2005,.,34.90841667,-95.29630556,28,4,55,7,0.08,.,0.4,0.107,10,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,8/2/2005,.,34.90841667,-95.29630556,25,2.2,25,7,1,0.3,0.4,0.213,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,9/8/2005,.,34.90841667,-95.29630556,24,1.6,21,7,1,0.15,0.5,0.213,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,10/13/2005,.,34.90841667,-95.29630556,16,4,43,7,1,0.15,0,0.18,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,11/8/2005,.,34.90841667,-95.29630556,28,4,55,7.5,1,0.15,0,0.266,25,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,12/1/2005,.,34.90841667,-95.29630556,8,8,70,7.25,1,0,0,0.08,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,1/12/2006,.,34.90841667,-95.29630556,8,6,53,7,1,0,5.1,0.166,25,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,2/13/2006,.,34.90841667,-95.29630556,5,8,64,7.25,1,0.15,4,0.287,25,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,3/1/2006,.,34.90841667,-95.29630556,27,9,120,8,1,0.15,0.4,0.4,25,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,4/13/2006,.,34.90841667,-95.29630556,20,4,48,7,1,0.15,0.8,0.226,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,5/8/2006,.,34.90841667,-95.29630556,18,6,67,7,0.5,0.15,0.1,0.166,10,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,6/7/2006,.,34.90841667,-95.29630556,24,1.4,20,7,1,0.15,1,0.173,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,7/13/2006,.,34.90841667,-95.29630556,26,2,29,7.5,1,0.15,0.6,0.266,10,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,8/14/2006,.,34.90841667,-95.29630556,27,1.8,26,7,2,0.3,0.4,0.007,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,9/11/2006,.,34.90841667,-95.29630556,22,4,51,6.5,5,0.3,0.2,0.007,25,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,10/4/2006,.,34.90841667,-95.29630556,20,4,47,7,.,.,0.1,0.073,.,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,11/1/2006,.,34.90841667,-95.29630556,10,6,55,7,.,.,0.1,0.1,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,1/9/2007,8:10 AM,34.90841667,-95.29630556,7,9,75,7.25,1,0.15,0.2,0.053,10,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,2/6/2007,8:30 AM,34.90841667,-95.29630556,4,12,90,7.25,2,0.08,0.1,0.007,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,3/5/2007,9:15 AM,34.90841667,-95.29630556,7,10,82,7.75,5,0.15,0.1,0.14,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,4/6/2007,9:00 AM,34.90841667,-95.29630556,11,4,38,7.5,0.15,2,0.2,0.067,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,5/14/2007,9:00 AM,34.90841667,-95.29630556,.,7,.,7,2,0.15,0.1,0.007,10,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,6/13/2007,9:00 AM,34.90841667,-95.29630556,23,5,65,7.5,2,0.15,0.1,0.007,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,7/11/2007,9:00 AM,34.90841667,-95.29630556,23,7,86,7.5,1,0.15,0.1,0.007,10,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,8/8/2007,10:15 AM,34.90841667,-95.29630556,27,3,41,7.5,5,0.15,0.1,0.007,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,9/14/2007,8:45 AM,34.90841667,-95.29630556,23,3,38,7.5,1,0.08,0.1,0.007,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,10/2/2007,9:00 AM,34.90841667,-95.29630556,23,6,73,7.25,5,0.15,0.1,0.007,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,11/9/2007,8:30 AM,34.90841667,-95.29630556,10,4,38,7,1,0.08,0.1,0.007,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,12/19/2007,9:20 AM,34.90841667,-95.29630556,5,8,65,7,1.5,0.08,0.1,0.007,10,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,1/7/2008,9:00 AM,34.90841667,-95.29630556,15,10,100,7.5,5,0.15,0.1,0.007,25,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,2/5/2008,9:00 AM,34.90841667,-95.29630556,14,9,90,7.5,5,0.15,0.1,0.007,25,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,3/10/2008,9:00 AM,34.90841667,-95.29630556,9,4,36,7,0.5,0.08,0.1,0.007,10,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,4/7/2008,9:00 AM,34.90841667,-95.29630556,15,9,91,7,0.5,0.08,0.1,0.007,10,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,5/12/2008,9:00 AM,34.90841667,-95.29630556,16,7,75,7.3,2,0.15,0.1,0.007,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,6/2/2008,9:00 AM,34.90841667,-95.29630556,24,5,63,7,5,0.15,0.2,0.007,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,7/2/2008,9:00 AM,34.90841667,-95.29630556,26,5,65,7,2,0.15,0.1,0.007,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,8/14/2008,9:00 AM,34.90841667,-95.29630556,25,5,65,7,0.5,0.08,0.1,0.007,10,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,10/10/2008,9:15 AM,34.90841667,-95.29630556,17,6,66,7,1.5,0.08,0.1,0.007,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,11/4/2008,8:20 AM,34.90841667,-95.29630556,16,5,54,7,2,0.08,0.1,0.007,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,12/2/2008,10:45 AM,34.90841667,-95.29630556,6,9,73,7,2,0.08,0.1,0.007,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,1/7/2009,9:10 AM,34.90841667,-95.29630556,5,4,32,7.5,2,0.08,0.1,0.007,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,2/3/2009,1:20 PM,34.90841667,-95.29630556,7,8,66,7.5,1,0.08,0.1,0.007,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,3/26/2009,1:30 PM,34.90841667,-95.29630556,15,9,90,7.6,2,0.08,0.1,0.007,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,5/21/2009,.,34.90841667,-95.29630556,19,7,77,7.2,.,.,0.1,0.007,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,6/16/2009,.,34.90841667,-95.29630556,29,6,80,7,.,.,0.1,0.007,10,13,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,7/21/2009,.,34.90841667,-95.29630556,29,6,80,7.1,5,.,0.1,0.02,25,33,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,8/25/2009,.,34.90841667,-95.29630556,29,7,95,7.6,.,.,0.1,0.08,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,9/30/2009,.,34.90841667,-95.29630556,18,10,106,7.7,2,.,0.1,0.053333333,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,11/30/2009,.,34.90841667,-95.29630556,11,10,90,7.4,.,.,0.2,0.08,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,12/28/2009,.,34.90841667,-95.29630556,2,8,57,7.2,.,.,0.1,0.007,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,1/22/2010,.,34.90841667,-95.29630556,8,9,75,7.1,2,.,0.1,0.007,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,2/24/2010,.,34.90841667,-95.29630556,5,13,96,7.4,0.5,.,0.1,0.026666667,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,3/19/2010,.,34.90841667,-95.29630556,11,9,81,7.3,3,.,0.2,0.007,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,5/27/2010,.,34.90841667,-95.29630556,21,5,58,7.1,1,0.15,0.3,0.007,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,6/21/2010,.,34.90841667,-95.29630556,30,5,69,7.5,3,0.15,0.2,0.06,20,100,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,8/19/2010,.,34.90841667,-95.29630556,30,5,69,7.3,5,.,0.2,0.007,20,20,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,9/30/2010,.,34.90841667,-95.29630556,20,7,80,7,4,.,0.1,0.007,25,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,10/28/2010,.,34.90841667,-95.29630556,13,6,58,7.1,2,.,0.1,0.08,15,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,12/16/2010,.,34.90841667,-95.29630556,6,7,56,7,.,.,0.8,0.007,20,.,Blue Thumb,Arkansas R.,11110105
Bandy Creek: Pleasant Hill Road,OK220100-04-0080G,Latimer,5/25/2011,.,34.90841667,-95.29630556,0,.,.,.,.,.,.,.,.,.,Blue Thumb,Arkansas R.,11110105
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,1/21/2005,.,35.86811111,-94.897,9,11,95,7.5,0.52,.,0,0.02,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,2/17/2005,.,35.86811111,-94.897,10,12,105,7.5,0.9,.,0,0.013,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,3/17/2005,.,35.86811111,-94.897,10,12,105,7,1,.,0,0.027,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,4/21/2005,.,35.86811111,-94.897,16,10,103,7.5,0.9,.,0,0.08,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,5/19/2005,.,35.86811111,-94.897,20,4,47,7.5,0.5,.,0,0.007,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,6/16/2005,.,35.86811111,-94.897,22,7,85,7,0.44,.,0,0.06,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,7/21/2005,.,35.86811111,-94.897,25,7,90,7.5,0.06,.,0,0.02,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,8/17/2005,.,35.86811111,-94.897,25,5,65,7.5,1,0,0,0.027,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,9/15/2005,.,35.86811111,-94.897,23,4,50,7.5,.,0.15,0,0.013,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,10/20/2005,.,35.86811111,-94.897,20,7,80,7.5,0,0.15,0,0.027,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,11/17/2005,.,35.86811111,-94.897,12,10,95,7.5,1.5,0.15,0,0.073,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,12/15/2005,.,35.86811111,-94.897,9,11,95,7.5,1,0.15,0,0.013,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,1/18/2006,.,35.86811111,-94.897,10,11,95,7.5,0.5,0,0,0.033,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,2/16/2006,.,35.86811111,-94.897,13,10,95,7.5,1,0.1,0,0.007,5,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,3/16/2006,.,35.86811111,-94.897,12,10,95,7.5,1.2,0.07,0.1,0.007,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,4/20/2006,.,35.86811111,-94.897,17,6,65,7.5,1,0.08,0.1,0.02,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,5/18/2006,.,35.86811111,-94.897,15,8,80,7.5,1,0.08,0.1,0.007,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,6/15/2006,.,35.86811111,-94.897,22,6,75,7.5,2,0.08,0.1,0.007,5,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,7/20/2006,.,35.86811111,-94.897,15,7,73,7.5,1,0.08,0.1,0.033,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,8/17/2006,.,35.86811111,-94.897,25,6,80,7.5,1,0.08,0.1,0.007,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,9/17/2006,.,35.86811111,-94.897,23,6,74,7.5,1,0.08,0.1,0.047,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,10/19/2006,.,35.86811111,-94.897,17,9,95,7.5,1,0.08,0.1,0.04,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,11/16/2006,.,35.86811111,-94.897,13,11,105,7.5,2,0.15,0.1,0.013,15,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,12/18/2006,.,35.86811111,-94.897,12,11,100,7.5,2,0.1,0.1,0.007,15,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,1/19/2007,9:35 AM,35.86811111,-94.897,8,13,107,7.5,2,0.15,0.1,0.02,15,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,2/16/2007,8:20 AM,35.86811111,-94.897,6,13,104,.,2,0.15,0.1,0.007,15,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,3/15/2007,8:10 AM,35.86811111,-94.897,11,10,95,7.5,2,0.15,0.1,0.007,.,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,4/19/2007,8:05 AM,35.86811111,-94.897,13,10,96,7.5,3,2,0.1,0.02,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,5/17/2007,8:15 AM,35.86811111,-94.897,18,10,110,7.5,1,0.08,0.1,0.007,15,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,6/22/2007,9:15 AM,35.86811111,-94.897,21,9,104,7.5,1,0.08,0.1,0.02,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,7/19/2007,8:05 AM,35.86811111,-94.897,23,9,110,7.5,1,0.08,0.1,0.013,10,.,Blue Thumb,Illinois R.,11110103
Baron Fork River: Welling Road,OK121700-05-0010G,Cherokee,8/16/2007,7:30 AM,35.86811111,-94.897,25,6,74,7.5,0.5,0.08,0.1,0.007,10,.,Blue Thumb,Illinois R.,11110103
